Номер;Рецепт
16;один спелый банан очищаем от кожуры  нарезаем кружочками и складываем в блендер один апельсин тоже очищаем от кожуры  делим на дольки и тоже в блендер туда же  в блендер  добавляем полстакана вишни если замороженная  то можно не размораживать если свежая  то нужно очистить от косточек добавляем полстакана кокосового или любого другого молока  или кефира  или йогурта  или воды  добавляем  столовые ложки мёда взбиваем и подаём 
17;высыпаем шиповник и перегородки ореха в бутылку в тёмное тёплое место на месяц минимум  
18;подготовить все ингредиенты в небольшой кастрюле смещать сахар  воду и гвоздику  поставить на огонь и довести до кипения варить сахарно гвоздичный ликер  минут после закипания  снять с огня и дать немного остыть  апельсины поместить в дуршлаг  ошпарить кипятком и вытереть насухо с помощью ножа или овощечистки с апельсинов снять цедру поместить цедру в сахарно гвоздичный сироп разрезать апельсины пополам и выдавить сок в сироп все хорошо перемешать и влить водку оставить настаиваться ликер на  сутки  помешивать по возможности каждые   часа через сутки процедить ликер через сито и перелить в графин для подачи на стол из указанного количества ингредиентов получается  мл ароматного ликера апельсиново гвоздичный ликер готов  более подробный рецепт приготовления ликера смотрите на видео  приятного времяпровождения 
19;  крахмал развести в  стакане молока   остальное молоко вылить в кастрюлю  поставить на средний огонь   добавить шоколад нагревать до тех пор  пока шоколад не растворится   затем добавить молоко с крахмалом  хорошо перемешать  нагревать до тех пор  пока масса не начнет густеть   убрать с огня подавать горячим приятного вам аппетита 
20;добавить в чайник все ингредиенты и залить кипятком настоять   минут процедить немного остудить и добавить мед по вкусу 
21;  для начала подготовим фрукты яблоки и апельсины нужно хорошо промыть нарезаем их крупными дольками   я предпочитаю воткнуть в апельсиновые дольки звездочки гвоздики затем нужно будет просто добавить эти дольки апельсина с пряностями в вино   теперь кладем в сотейник палочки корицы   звездочки аниса  добавляем душистый перец   горошины или можно больше    отправляем к остальным специям  ч  л  черного перца горошком чем больше перца  тем горячительнее будет напиток   добавляем сахар  примерно   гр  или по вкусу   наливаем вино для приготовления глинтвейна я использую красное сухое столовое вино каберне   прогреваем вино  на минимальном огне  постоянно помешивая до полного растворения сахара   добавляем коньяк  чтобы вкус глинтвейна был намного ярче   отправляем в горячее вино с пряностями изюм затем кисло сладкие яблочки и спелые апельсины из некоторых долек апельсина можно выдавить в вино вкусный сладкий сок   прогреваем ароматный глинтвейн  минут на небольшом огне осталось только процедить этот ароматный напиток  разливаем по стаканам и наслаждаемся пейте эту вкуснятину  набирайтесь сил и здоровья  в умеренных количествах  это профилактическое средство от простуды  только лучше пить его свежим и не кипятить повторно 
22;первым делом советую наморозить льда и желательно в нормальной форме  чтобы кубики были большими  всякие пакеты для льда и остальная мишура не подойдет стакан наполняем льдом наливаем вермут и кампари доливаем стакан содовой до верху и аккуратно перемешиваем по желанию можно украсить долькой апельсина иногда льда бывает много и доливать некуда   можно пить так или использовать стакан с большим объемом хорошего вечера вам  пейте с умом 
23;выдавить сок из лимоновдобавить сахар   мл  воды  корицу и мяту довести до кипения  остудить мандарины очистить  отжать сок  процедить в кувшин процедить остывший лимонный сироп  добавить мандариновый сок и  мл  холодной воды   можно регулировать количество воды по вкусу добавить дольки мандарина в напиток    по желанию 
24;  очищаем имбирь от кожуры и натираем на мелкой терке я специально его не нарезаю  а именно натираю очень тщательно  чтобы сквозь эти мелкие заостренные отверстия сочился имбирный сок на пару с мякотью  который придаст напитку более насыщенный вкус   отправляем к имбирю  чайные ложечки сушеной ромашки   из лимона выжимаем сок и нарезаем оставшуюся часть на небольшие кусочки именно эти кусочки добавляем в чайник   добавляем к этой полезной смеси полезное сушеное яблочко для придания вкуса и аромата   заливаем эту ароматную смесь кипятком и даем настояться в течение  минут   наливаем чай через сито и наслаждаемся чудесным ароматом когда чай немного остынет  можете добавить мёд или сахар  если вы мед не употребляете  и лимонный сок по вкусу и по желанию в сильно горячую жидкость мед добавлять не стоит  поскольку он утрачиваем часть полезных свойств вместо лимона можно добавить облепиху  перетертую с сахаром   или  чайные ложечки чтобы избавиться от косточек и кожуры я пропускаю ее через сито будьте здоровы  пейте на здоровье если имеются противопоказания или индивидуальная непереносимость некоторых ингредиентов  будьте осторожны  можете что то добавить или исключить главное чтобы вы чувствовали себя прекрасно 
25;подготовить все ингредиенты в этом рецепте нам понадобятся только яичные желтки отделить белки от желтков  яичные желтки соединить с сахаром и взбить миксером на средней скорости до полного растворения сахара добавить ванильный сахар и сливки и еще раз тщательно перемешать тонкой струйкой влить водку и   не прекращая  взбивать миксером на низкой скорости в результате должна получиться однородная жидкость без кристалликов сахара готовый ликер переливаем в бутылку  в которой мы будем его подавать  и сразу подаем к столу этот ликер готовится буквально  минут  его не нужно настаивать  он не требует долгого приготовления  нравится всем моим подругам сливочный ликер в домашних условиях готов приятного аппетита 
26;вино разогреть  добавить джем махеевъ глинтвейн и хорошо перемешать  минут и всё готово отличный вариант для любителей горячих напитков 
27;подготовить все ингредиенты для приготовления ликёра нам понадобится молоко  бананы  яйца  водка  сгущённое молоко  растворимый кофе соединить доведённое до кипения молоко и растворимый кофе  размешать до полного растворения кофе  бананы очистить и порезать кусочками в чаше блендера соединить бананы и сгущённое молоко  добавить яйца  измельчить до образования однородной массы добавить охлаждённый кофе с молоком  ещё раз перемешать добавить водку  ещё раз всё перемешать с помощью блендера разлить по бутылкам и закупорить хранить готовый ликер в холодильнике ликёр имеет очень приятный кофейно банановый вкус и аромат и нежную бархатистую консистенцию бананы выбирайте очень спелые и даже подойдут немного переспелые бананы  именно они придадут ликёру неповторимый аромат и консистенцию до подачи держите ликёр в холодильнике  а перед подачей взболтайте бананово кофейный ликер готов  приятного времяпровождения 
28;  наливаем кипяток в стакан   добавляем сахар   добавляем чай матча и размешиваем до полного растворения   нагреваем молоко   взбиваем капучинатором до появления пенки   добавляем молоко в чай 
29;делаем импровизированную пароварку  кастрюля  вода  сито  тыква на  порции хватит  грамм тыквы разумеется уже почищенная и порезанная накрываем крышкой  и отправляем на плиту на максимальном огне доводим до кипения  убавляем до среднего и оставляем минут на   готовую тыкву можно отправить в блендер или протереть через сито далее вам понадобится  миллилитров эспрессо   по  мл  на каждую порцию  в подготовленные порционные стаканы или чашки переливаем кофе в каждый стакан добавляем по  столовых ложки с горкой тыквенного пюре туда же щепотку корицы  в два раза меньше имбиря и мускатный орех орех целый  просто натрите его на тёрке перемешиваем всё до однородного состояния  до красивой золотисто бронзовой массы и естественно молоко отмеряем  миллилитров и отправляем молоко в сатейник  доводим его до горячего состояния  но не кипятим взбивать вы уже умеете поршнем туда сюда далее круговыми движениями уберём большие пузыри затем дополнительно несколько раз постучим заливаем нашу тыквенно кофейную смесь молоком быстренько перемешиваем ложкой и пока горячий наслаждаемся  приятного    
30;банановый коктейль готовится очень просто  быстро и легко нам понадобится блендер в блендер вылить молоко порезать очищеный банан и авакадо и добавить сахар по вкусу всё это взбить блендером  разлить в стаканы и угощаем близких вкусно  быстро и полезно 
31;начинаем с сухой кастрюли закидывем туда корицу  бадьян  душистый перец гвоздику и кардамон  подхватываем кастрюлю и отправляем на средний огонь пусть прокалится пару минут  чтобы специи максимально отдали свой аромат будущему глинтвейну спустя эти пару минут заливаем вино или гранатовый сок и розбавим водой медленный огонь тут тем временем нарезаем имбирь и апельсин  натираем на тёрке мускатный орех и отправляем всё это в кастрюлю оставляем на медленном огне минут на   но не доводим до кипения спустя  минут добавляем мёд и процеживая  разливаем по чашкам   приятного отдыха с чашечкой ароматного  пьянящего своим потрясающим вкусом глинтвейна    
32;в блендер наливаем пол литра горячего молока мы используем растительное молоко туда же добавляем орехи  чай матча и финики для сладости финики можете заменить сахаром или мёдом далее нажимаем старт и блендерим до желаемой однородности разливаем по чашкам  и наслаждаемся   приятного    
33;в кастрюльку или сатейник с толстым дном наливайте молоко  можно использовать растительное далее добавляем куркуму  корицу  имбирь и смчп кастрюлю вместе с содержимым отправляем на огонь и доводим до горячего состояния  но не кипятим  добавляем мёд перемешиваем до растворения сладостей и разливаем по стаканам а можете и в одну порцию эспрессо добавить золотого молока  будет очень вкусно  приятного    
34;в миску или ковшик  желательно с толстым дном насыпаем две столовые ложки какао с большой горкой  щепотку соли  четверть чайной ложки корицы всё это хорошенько перемешиваем  затем добавляем четверть стакана холодной воды и столовую ложку мёда с горкой отправляем кастрюльку на средний огонь и постоянно помешиваем при небольшом кипении провариваем  минутки затем постепенно  перемешивая вливаем пол литра молока можно даже овсяное молоко домашнего приготовления хорошенько нагреваем  но до кипения не доводим переливаем в чашку и наслаждаемся горячим шоколадом   
35;очищать гранат вы уже умеете ак что уже отделённые зёрна   на баночку   мл  понадобится  больших граната  засыпаем двумя столовыми ложками с горкой сахара и далее вооружившись скалкой или толкушкой и начинаем всё это давить до образования сока его будет много затем переливаем пересыпаем всё содержимое в банку закрываем крышкой и отправляем в холодильник хранить в холодильнике можно до  месяца  добавляйте в чай или ешьте просто так а когда понадобится успокоиться  достаём баночку  две столовые ложки на чашечку воды   заливаем кипятком  мешаем и наслаждаемся полезной вкуснятиной натуральный цвет  сок и обалденный вкус не оставят вас равнодушными  приятного чаепития и тёплых  уютных вечеров    
36;для приготовления двух порций латте вам понадобится  порция эспрессо   стакан молока переливаем в кастрюлю и ставим на огонь молоко можете использовать растительное  но магазинное не доводите молоко до кипения  где то до   будет достаточно это когда горячо  но ещё терпимо переливаем молоко в френч пресс  опускаем пресс  затем поднимаем его и начинаем дёргать его вверх  вниз   взбиваем так секунд  убираем поршень круговыми движениями уберём большие пузыри  затем дополнительно несколько раз постучим переливаем густую пену в нашу заготовку секунд  перемешиваем ложкой и далее вы увидите разделение на  слоя  молочный  кремовый и кофейный  приятного и тёплого вечера    
37;вариант первый   с помощью гейзерной кофеварки в неё добавляем  мл  воды  но не выше уровня вставляем ситечко  заполняем его кофе и хорошо разравниваем накрываем верхнюю часть и плотно закручиваем отправляем на плиту огонь выше среднего и ждём пока физика сделает своё дело второй способ с помощью франч пресса стакан воды ставим нагреваться и доводим до кипения отмеряем столовую ложку с горкой молотого кофе  сверху льём кипяток и оставляем на  минутки по истечению этого времени несколько раз отпрессуем   готово  переливаем в чашку и наслаждаемся  ну и третий способ   кастрюлька  сито    закинули кофе  залили  водой  заварили  процедили   готово  приятного    
38;гранатовый сок имеет богатейший состав полезных веществчтобы получить гарантированно полезный напиток  лучше всего выжать сок самостоятельно гранат помыть и почистить зерна отправить в блендер  ещё добавить воду и взбиваем не больше  секунд осталось процедить наш сок и добавить сахар по вкусу полезный сок готов 
39;домашний виноградный сок можно готовить из любого сорта винограда  который имеется в наличии натуральный виноградный сок   это витаминный  полезный и очень вкусный напиток виноград можете использовать любой даже если кислый то просто больше сахара добавить  а если сладкий как у меня то и сахар не нужен виноград хорошо помыть и отделить ягоды от грозди теперь ягоды переложить в блендер и добавить воду сбиваем не больше  секунд осталось процедить и наш сок готов вкусно  полезно и выгодно 
40;  первым делом советую наморозить льда и желательно в нормальной форме  чтобы кубики были большими  всякие пакеты для льда и остальная мишура не подойдет   минут  охлаждаем в холодильнике стакан в стакан наливаем  мл  газировки  добавляем  кубик сахара и   капли агастуры сахар разминаем толкучкой  что нить похожее на мадлер    стакан наполняем до верху льдом и наливаем  мл  виски   доливаем стакан содовой до верху и аккуратно перемешиваем по желанию можно украсить долькой апельсина   хорошего вам вечера пейте с умом 
41;хурму и банан очистить от кожуры  семена конопли измельчить в кофемолке сложить все ингредиенты в блендер и взбить до однородной массы получается вкусно и очень полезно 
42;  смешайте в чаше блендера кедровую муку тм аю  дух леса с кипяченой водой добавьте жидкий мед  нарезанный кусочками банан измельчите   положите в чашу блендера нарезанное кусочками манго и клубнику взбейте смузи еще раз до однородного состояния если хотите больше сладости  добавьте еще немного меда   разлейте смузи по бокалам  украсьте листиками свежей мяты и угощайтесь 
43; замороженную клюкву перебрать  промыть  поместить в стеклянную посуду или в неокисляющуюся кастрюлю  размять ягоды деревянной толкушкой  размятые ягоды положить в сито или мелкий дуршлаг  отжать сок  жмых от ягод положить в кастрюлю  залить горячей водой из чайника и поставить на огонь  довести до кипения  добавить сахар  проварить  минут  если хотите можете добавить мед  только его нужно добавлять уже в чуть теплый отвар  кастрюлю накрываем крышкой и даем отвару постоять   минут  затем нужно отвар для клюквенного морса процедить через сито или мелкий дуршлаг  чтобы витамины сохранились важно добавлять свежий клюквенный сок в тёплой процеженный отвар полезный и вкусный клюквенный морс из замороженной ягоды готов  пейте на здоровье 
44;  свежие абрикосы нужно помыть  обсушить  удалить косточки у меня замороженные абрикосы  размораживать их не нужно вес абрикосов указан в чистом виде без косточек     л  воды нагреть до горячего состояния  всыпать сахар и ванилин  размешать довести воду с сахаром до кипения сахара я указала примерное количество ориентируйтесь на свой вкус и на сладость абрикосов   в кипящую воду положить абрикосы  дать вновь закипеть   соединить стакан остуженной кипяченой воды   мл   и картофельный крахмал  тщательно размешать  чтобы не было комочков   раствор крахмала вылить тонкой струйкой в кастрюлю с кипящей водой и абрикосами  все время помешивая   довести кисель до кипения и выключить огонь дать немного остыть по желанию можно употреблять как в теплом  так и в холодном виде   вкусный витаминный напиток готов разлить его по стаканам и подать к столу угощайтесь  приятного аппетита 
45;  стебля сельдерея нарезаем на кусочки и складываем в блендер небольшой кусочек лимона нарезаем довольно мелко и добавляем к сельдерею половину груши  половину яблока и половину банана нарезаем на средние кусочки и тоже складываем в блендер добавляем туда же горсть шпината добавляем несколько листьев салата  предварительно порвав их на куски если салат в горшочке  то примерно полгоршочка добавляем  мл  жидкости  воды или растительного молока прокручиваем всё в блендере и готово 
46; этап отделяем виноградные гребни от ягод  гребни изменяют состав вина  с одной стороны  они содержат воду и немного сахара  с другой  их сок обладает малой кислотностью и содержит много калия  наконец  отделение гребней повышает кислотность и  что особенно важно  повышает спиртуозность вина  гребень действует на спиртуозность тем  что поглощает спирт  помещаем ягоды винограда в емкость для сбраживания  добавляем сахар  на  кг ягод добавляем  кг сахара   герметично закупориваем емкость для сбраживания   в нашем случае мы использовали клапан из пластиковой бутылку  который при помощи пищевого герметика закрепили на горловину емкости  убираем емкость для сбраживания в теплое  температура примерно   градуса  и темное место на  дней по истечению  дней сливаем полученное молодое виноградное вино в  литровые стеклянный балон  при этом мезга остается в емкости для сбраживания далее на балон с молодым вином устанавливаем перчатку или гидрозатвор  так как в течении месяца будет продолжаться процесс медленного брожения вина по истечению месяца снимаем вино с осадка и отправляем отстаиваться еще на  месяц при температуре    градуса   далее повторяем процедуру снятия вина с осадка и отправляем вино отстаиваться на  месяца  при температуре не выше  градусов   этап после того  как мы слили виноградный сок  полученный при первом брожении  добавляем в емкость с мезгой  теплую  родниковую воду   л   и сахар   кг    герметично закупориваем емкость для сбраживания  убираем емкость для сбраживания в теплое  температура примерно   градуса  и темное место на  дней по истечению  дней сливаем полученное молодое виноградное вино в  литровые стеклянный балон далее на балон с молодым вином устанавливаем перчатку или гидрозатвор  так как в течении месяца будет продолжаться процесс медленного брожения вина по истечению месяца снимаем вино с осадка и отправляем отстаиваться еще на  месяц при температуре    градуса   чтобы выпал винный камень  далее повторяем процедуру снятия вина с осадка и отправляем вино отстаиваться на  месяца  при температуре не выше  градусов  по истечению  месяцев отстаивания вина  мы уже   раза за это время сняли вино с осадка и выдержали при низкой температуре  можно смешивать вино от первого брожения с менее концентрированным вином от второго брожения  чтобы уменьшить концентрацию вина от первого брожения  по желанию  далее отстаиваем вино еще  месяцев  мы храним в подвале при температуре не выше  градусов в летнее время  по истечению года молодое домашнее вино готово к употреблению разливаем вино по бутылкам  которые также храним при умеренной температуре домашнее вино готово 
