Номер;Рецепт
11; с недавних пор стало очень популярным готовить смузи и разные фруктово овощные коктейли в домашних условиях  что я лично приветствую  поскольку смузи   это отличный питательный завтрак или перекус  возможность утилизировать непрезентабельно выглядящие фрукты  а также большая польза в плане количества витаминов и минералов    я готовлю и сладкие  и несладкие смузи  зависит от настроения и того  что есть в моем холодильнике  сегодня готовим смузи с творогом и бананом  можно ограничиться только этими двумя ингредиентами и получить отличный смузи  а можно  облагородить  его  добавив немного овсяных хлопьев  меда и молока    подготовим все продукты для приготовления смузи  банан подойдет и переспевший     банан очистим от кожуры и измельчим произвольно     нарезанный банан и творог выкладываем в чашу погружного блендера     добавляем также в смузи овсяные хлопья и мед     пробиваем все ингредиенты смузи в пюре     смузи получится очень густым  поэтому советую добавить немного молока  чтобы сделать напиток более жидким     смузи с творогом и бананом готов     приятного перекуса или завтрака     любите себя  питайтесь вкусно и полезно    
12; чай масала   индийский напиток  при приготовлении которого используют набор специй  напиток получается очень вкусным и пикантным  обладает тонизирующими и лечебными свойствами  соотношение воды и молока может быть также   или наоборот    для приготовления чая масала подготовьте продукты по списку     завариваем черный чай  стаканом кипятка  даем настояться  минут     молоко со специями   гвоздикой  корицей  черным перцем  кардамоном  бадьяном и имбирем   доводим до кипения  оставляем под крышкой настояться в течение  минут     в стаканы наливаем процеженный черный чай     и вливаем процеженное молоко  добавляем сахар по вкусу     чай масала готов  приятного чаепития   
13; оранжад   летний прохладительный напиток из апельсинового сока  апельсиновый лимонад   в жару прекрасно освежает и утоляет жажду    для приготовления оранжада нам понадобятся апельсины  лимон  сахар и вода    апельсины сложить в пакет и убрать в морозильную камеру  через некоторое время их достать и оставить полежать до того состояния чтоб их можно было нарезать ножом  после морозилки апельсины легче перекручиваются в комбайне и лучше отдают сок    нарезать апельсины кусочками     кусочки апельсинов сложить в комбайн и прокрутить несколько раз  чтоб они не измельчились в кашу    переложить апельсиновую массу в кастрюлю  добавить сахар и залить это всё кипятком  перемешать и оставить до полного остывания    затем процедить через сито  выдавить сок лимона  размешать    напитку дать настояться ночь но мы столько не выдержали  начали пить через  часа  разбавлять напиток холодной кипячёной водой  добавлять лёд     приятного аппетита   
14; квас до сих пор остаётся одним из любимых исконно русских прохладительных напитков  приготовить настоящий русский квас в домашних условиях непросто из за отсутствия солода  но любители этого напитка придумали свои рецепты  в которых чаще всего стали использовать подпечённые сухари ржаного хлеба  такой квас  несомненно  во многом уступает тому  который готовят из солода  но  тем не менее  имеет отменный вкус    для приготовления кваса из ржаного хлеба в домашних условиях нужно взять  собственно  ржаной хлеб  воду  сахар  свежие дрожжи  изюм и сухую мяту     ломтики хлеба нарезать кубиками     хлеб выложить на противень и слегка подрумянить в духовке  следить  чтобы не подгорел     подсушенный и даже слегка подрумяненный хлеб пересыпать в банку     воду вскипятить  залить ею сухари и дать постоять  часа     настой процедить и остудить до комнатной температуры     дрожжи развести в небольшом количестве настоя     в настой вылить дрожжи  всыпать сахар и положить мяту и корицу     смесь перемешать до полного растворения сахара  ёмкость накрыть марлей и оставить для брожения при комнатной температуре на  часов     когда квас начнёт пениться  процедить его  разлить в бутылки  положить в каждую по  промытых и обсушенных изюминки  бутылки укупорить и поставить в холодильник  через  дня домашний квас из ржаного хлеба  изюма и дрожжей готов     приятного аппетита   
15; хочу представить вашему вниманию еще один вид смузи   персик и малину  интересная подача слоями привлекает внимание к рецепту и очень нравится детям  сладость готового смузи можно варьировать по своему вкусу  так как она зависит от спелости и сладости самих фруктов  советую попробовать  тем более  что по этому рецепту все готовится очень быстро и не сложно    для приготовления смузи возьмем персики  нектарины   малину   свежую или замороженную   мед  можно заменить сахарной пудрой   кефир     сначала приготовим персиковый смузи  для этого персики нарежем и поместим в блендер  добавим часть меда и часть кефира     взобьем смесь до однородности     перельем в другую посуду  а блендер подготовим для малинового смузи     сложить в чистый блендер ягоды малины  мед и кефир  все взбить     полученную смесь перелить в другую посуду для удобства     по очереди наливать в стакан сначала персиковый смузи  затем малиновый  лить нужно по стеночке  слегка наклоняя стакан     наполнить стакан доверху и украсить по желанию  сразу же подавать холодным     угощайтесь   
16; лимонад является одним из самых распространенных напитков в мире  его обожают не только дети  но и взрослые    и не обязательно покупать лимонад в магазине  его можно без особого труда приготовить в домашних условиях  он будет вкуснее и полезнее  а в жаркие дни лимонад будет просто незаменим для утоления жажды    подготовим продукты для приготовления домашнего лимонада из лимонов     лимоны вымыть и нарезать тонкими кружками     положить в миску  посыпать сахаром  перемешать и оставить на    часа     залить лимоны с сахаром кипятком  перемешать  чтобы сахар растворился     остудить  процедить и добавить охлажденную кипяченную воду  перед употреблением в стакан можно добавить кусочки льда     лимонад из лимонов готов  разливаем по бокалам и наслаждаемся  напиток хранить в холодильнике      
17; кисель  прекрасный десерт  конечно же летом его можно приготовить из свежих ягод  но зимой и весной можно использовать замороженные  лучше брать сочные ягоды  такие как красная и черная смородина  вкус киселя получается очень насыщенным  кто то любит более жидкий вариант  кто то более густой  для жидкого киселя достаточно  ст  ложек крахмала на  литр воды  если вы любите очень густой кисель  то надо положить  ст  ложки крахмала на  литр воды    приготовьте необходимые продукты     ягоды разморозьте  протрите ягоды через сито или разомните и процедите сок через марлю     воду налейте в кастрюлю и доведите до кипения  в кипящую воду бросьте ягодный жмых и варите на среднем огне примерно  минут     процедите полученный компот     добавьте в процеженный компот сахар и доведите его до кипения     в ягодном соке разведите крахмал     одной рукой тонкой струйкой вливайте сок ягод с крахмалом в кипящий компот  а второй рукой интенсивно размешивайте  чтобы не было комков     доведите до кипения  все время размешивая  и выключайте  вкусный и ароматный кисель из замороженных ягод готов        приятного аппетита  
18; сегодня хочу поделиться с вами рецептом простого и очень вкусного домашнего кваса из яблочного сока  скромный по составу  незатейливый и быстрый в приготовлении  этот напиток обладает легким аппетитным вкусом и отлично освежает  благодаря чему уже многие годы пользуется неизменной популярностью в моей семье  приготовленный на основе воды  с добавлением небольшого количества яблочного сока  щепотки дрожжей и сахара  яблочный квас получается в меру сладким  игристым  с легкой  едва уловимой кислинкой и очень аппетитным яблочным послевкусием  что не менее приятно  в теплое время года квас готов к подаче к столу уже на вторые сутки  в летнюю жару такой напиток   настоящее спасение  обязательно попробуйте     подготовьте ингредиенты по списку     вскипятите  литра воды  когда вода закипит  выключите огонь  добавьте сахар и хорошо все перемешайте  чтобы сахар полностью растворился     охладите воду до комнатной температуры или как минимум до   градусов  если вода будет более горячей  дрожжи погибнут и квас не забродит      добавьте дрожжи  еще раз все перемешайте  чтобы дрожжи полностью растворились     влейте яблочный сок     по желанию  добавьте  ч л  растворимого кофе  добавление небольшого количества кофе сделает цвет кваса более насыщенным и придаст приятный вкусовой оттенок  готовить квас можно как с кофе  так и без него  каждый вариант по своему хорош  поэтому рекомендую попробовать каждый из них     еще раз все хорошо перемешайте  перелейте квас в пластиковые бутылки и герметично закройте  если на этом этапе вы сожмете стенки бутылки пальцами   пластик легко промнётся    оставьте квас при комнатной температуре на сутки  а затем еще раз попробуйте сжать бутылку пальцами  если пластик податлив  оставьте квас в тепле еще на несколько часов  а если бутылка на ощупь твердая  квас практически готов  в холодное время года процесс созревания кваса может занять до  суток     на этом этапе квас уже вкусный  шипучий и пенный  особенно в летнюю жару  когда брожение происходит очень активно   но если позволить напитку настояться  он станет еще вкуснее    поместите квас в холодильник еще на сутки  а затем подавайте к столу     домашний яблочный квас готов  храните напиток в холодильнике и подавайте охлажденным   
19; полностью натуральный смузи  приготовленный в домашних условиях   это гарантия того  что вы точно знаете состав и можете регулировать сладость и густоту по собственному вкусу    хотите сделать смузи более густым и превратить его в модный смузи боул      добавьте еще один банан  слишком густо и сладко  выжмите сок из половинки еще одного апельсина или добавьте немного питьевой воды  а если напиток нужно сделать более сытным  в него можно добавить горсть орехов или овсяных хлопьев  ну а корица    она все делает уютнее и ароматнее    у вас есть в запасе  минут  тогда будем готовить натуральный смузи из хурмы  апельсина и банана    подготовительного этапа нет  достаточно лишь ополоснуть фрукты     очистим банан и нарежем его произвольными кусочками     с хурмы снимем тонкую кожицу и удалим косточки  если они есть     апельсин разрежем пополам и выжмем сок     в чашу блендера выложим мякоть хурмы  кусочки банана  нальем сок апельсина и добавим молотую корицу     взобьем смузи на высокой скорости блендера до получения однородной консистенции  у нас получилась одна порция полезного  диетического напитка     нальем смузи с хурмой  бананом и апельсином в порционную баночку и можно угощаться или взять с собой на работу либо на прогулку     приятного аппетита    
20; сегодня хочу предложить вам рецепт универсального напитка  который актуален и в летнюю жару  и в холодное время года  приготовим вкуснейшую безалкогольную цитрусовую сангрию    сангрия  простой и незатейливый в приготовлении освежающий напиток с испанскими корнями  традиционная сангрия   смесь вина  мякоти свежих фруктов и фруктового сока  безалкогольная версия напитка практически идентична оригиналу  только вместо вина используется виноградный сок    готовый напиток получается очень легким  обладает соблазнительным ароматом и вкусом  с легкой цитрусовой ноткой  дополненная льдом и минеральной водой  безалкогольная сангрия приятно освежит вас в жару  утолит жажду и порадует изысканным фруктовым вкусом  который придется по вкусу и детям  и взрослым  попробуйте     для приготовления безалкогольной сангрии в домашних условиях подготовьте ингредиенты по списку     отмерьте  ч л  листового чая  добавьте палочку корицы    бутона гвоздики и  коробочки кардамона     влейте в емкость   миллилитров кипятка и оставьте настаиваться на   минут  можно прикрыть емкость крышкой  чтобы процесс проходил активней     тем временем подготовьте фрукты  разделите каждый фрукт пополам или отделите от него  и нарежьте очень мелкими кусочками  получится своего рода сочная фруктовая окрошка  которая станет ароматической основой напитка и придаст ему насыщенный вкус    оставшуюся часть фруктов сохраните и используйте для украшения готового напитка     поместите кусочки фруктов в большой кувшин или емкость  добавьте сахар или мед по вкусу  предварительно попробуйте сок  который собираетесь использовать для приготовления напитка  если он достаточно сладкий  можно ограничится символическим количеством подсластилей     ст л     процедите горячий чай и добавьте его в емкость с фруктами     также влейте в емкость примерно половину виноградного сока  слегка охладите напиток  если в этом есть необходимость  и поместите в холодильник на    часа для настаивания и окончательного охлаждения     процедите напиток  удалив фруктовую окрошку  она свою работу выполнила  придав напитку аромат и вкус     оставшиеся половинки или четвертинки фруктов нарежьте красивыми кружочками или ломтиками и добавьте в напиток     по желанию  добавьте несколько щепоток свежих душистых трав     влейте вторую половину охлажденного виноградного сока  добавьте лед и перемешайте напиток     по желанию  добавьте охлажденную газированную воду  вода слегка разбавит напиток  поэтому в процессе добавления периодически пробуйте напиток и регулируйте ее количество на свой вкус     еще раз все перемешайте и подавайте напиток к столу     освежающая ароматная безалкогольная сангрия готова   
