Номер;Рецепт
21;чтобы приготовить такой смузи возьмите  огурцы  несколько веточек свежей мяты  лайм или лимон  мёд  огурцы помыть и очистить от кожуры  крупно порубить  в ёмкости соединить огурцы с мятой и добавить  щедрую столовую ложку мёда   в ёмкость с ингредиентами выдавить сок лайма   все ингредиенты измельчить блендером до однородной массы  перед подачей подержите  минут стакан в холодильнике и потом уже наливайте в него смузи  добавьте немного колотого льда  
22;чтобы приготовить напиток  нужно взять   л нежирного кефира   кг свёклы  свёклу отварить до готовности накануне  очистить от кожуры  нарезать крупными кусками  подготовленную свёклу пюрировать с помощью блендера  к пюрированной свёкле добавить кефир  продолжить взбивать массу  напиток готов  перелить напиток в кувшин  пить в течение дня  остаток хранить в холодильнике  
23;для приготовления напитка нам понадобится лимон  пучок базилика  сахар и вода  в кастрюле закипятите воду  а тем временем отделите листочки от стеблей базилика  а лимон нарежте кольцами  после того  как вода закипит добавьте в кастрюлю базилик  лимон и сахар  затем дождитесь когда закипит вода второй раз  накройте напиток крышкой и оставьте настаиваться  минут  достаньте лимон  чтобы он не дал горечь и оставьте настаиваться ещё  минут  затем процедите напиток через сито  пить можно охлажденным со льдом или тёплым  как чай  
24;для приготовления кваса из цикория и лимонной кислоты нам потребуются следующие ингредиенты  вода кипячёная  общее количество   л    л  кипячёная  охлаждённая до с  и  мл кипяток   цикорий натуральный  растворимый   сахар  лимонная кислота  дрожжи сухие быстродействующие  в стакан высыпаем   ст  л  растворимого цикория  затем добавляем   ч  л  лимонной кислоты  высыпаем туда же  ст  л  сахара с небольшой горкой  заливаем сухие ингредиенты кипятком   мл  и хорошо перемешаем ложкой  до полного растворения сахара и цикория   в банку с кипячёной водой   мл  выливаем приготовленный напиток цикория   мл   и добавляем в банку   ч  л  быстродействующих сухих дрожжей  хорошо перемешаем дрожжи в напитке  они должны полностью раствориться  приготовленный квас из цикория закрываем крышкой  оставляем при комнатной температуре примерно на  часов  затем убираем в холодильник для полного охлаждения на  часа   вот такой вкусный домашний квас из цикория у нас получился  он газированный  с пенкой и множеством пузыриков  приятного вам аппетита  
25;для приготовления сладкой клюквенной настойки нам понадобятся такие продукты  как  клюква  у меня замороженная  но свежая вообще отличный вариант   сахарный песок  вода кипячённая и спирт  кстати  изначально в рецепте используется хорошая водка  но у меня было довольно много спирта  поэтому я готовила с ним  если у вас водка  берите  мл  а количество воды сокращайте до  мл  а ещё подготовьте чистую двухлитровую банку с закручивающейся крышкой  вначале нужно сварить сахарный сироп  для этого соединяем воду и сахар  варим недолго  после кипения минут   остужаем сироп до комнатной температуры  теперь нужно измельчить клюкву  я это делала погружным блендером  но можно толкушкой или в комбайне  перекладываем клюквенную массу в банку  заливаем спиртом или водкой  что у вас в наличии  теперь остаётся добавить сироп и всё хорошенько встряхнуть  оставляем настойку на  недели в тёмном месте  где нибудь в шкафчике  время от времени подходим и трясём банку  так выглядит настойка спустя  недели  эх  этап процеживания  клюкву то мы измельчили  чтобы ягоды полностью отдали свой вкус и цвет  поэтому получились довольно мелкие крупицы  берём высокую и глубокую посуду  дуршлаг  марлю  складываем в   слоёв  и постепенно выливаем в марлю настойку  когда марля сильно засорится  моем её и выжимаем  затем снова повторяем процедуру  где то через полчаса наша миссия будет выполнена  как вознаграждение  целых полтора литра шикарной сладкой настойки клюквенка  переливаем напиток в подходящую красивую посуду  даём ещё пару деньков настояться и можно дегустировать  хотя  если честно  я не ждала так долго  у меня же было  бутылки по  мл  то есть  мл ну никак не помещались  поэтому я сняла пробу не отходя от стола  угощайтесь  друзья  
26;чтобы приготовить чай  нужно взять свежие листья смородины и малины  сухие плоды шиповника  воду  сухие плоды шиповника   г или  ст  л   измельчить  всыпать измельчённые плоды шиповника в термос  со стеклянной или глиняной колбой   залить очень горячей водой   мл   кипяток  который постоял   минут  закрыть плотно крышкой  оставить настояться в течение   часов  хорошо приготовить настой шиповника заранее  продолжаем готовить в эксклюзивной  высококачественной посуде премиум класса   листья малины   штук  и смородины   штук  вымыть  обсушить  порвать руками на части  выложить в кувшин  залить горячим кипятком   мл    крышку плотно закрыть  оставить на  час на столе  настой шиповника процедить через марлю  влить в чайник  к отвару шиповника добавить ещё горячий настой из листьев малины и смородины  чай готов  подавать как самостоятельный напиток в течение дня в любое время  
27;ну  что  начинаем расшифровку рецепта брилья совари  унция  это  вероятнее всего  что то между  и  грамма  точнее сейчас уже никто не скажет  потому что унции тогда в ходу были разные  у меня выудился кусочек в  грамм тёртого какао  вот пусть он и будет полуторами унциями  никто не против  меру чашка сейчас принято считать равной  мл  какао тёртое  если оно в брикете  а не в гранулах  нужно или растереть на тёрке или измельчить иным способом  из крупного куска оно расходится плохо  растворяем его в постепенно подогреваемой воде   мл   помешивая время от времени  я делала не деревянным шпателем  а металлическим венчиком   в начале жидкость получится гм совсем жидкая  но минут через   на самом слабом огне  при помешивании  масса действительно густеет и стабилизируется где то до консистенции жидкой сметаны  по крайней мере  на поверхности остаются следы от проводимых линий  думаю  если кто хочет  может последовать совету игуменьи и продержать шоколад в фарфоровом сосуде ещё ночь  а подогреть и употреблять с утра  классический горячий шоколад из тёртого какао очень необычен на вид  это густой  коричневый напиток с лёгкой искрой  как в авантюрине  это поблескивают мельчайшие капельки какао масла  очень красиво  пахнет обалденно  консистенция необычайно интересная  но оно горькое и очень очень непривычное  короче  было интересно  наверняка оптимально с точки зрения полезности и диетичности  но для того  чтобы это было ещё и вкусно для современного человека  по моему  туда всё таки нужно как минимум  ложечку сахара  
28;для приготовления нам понадобится свёкла  йогурт и грецкие орехи   небольшую свёклу  примерно   грамм  отварить или же запечь в духовке  свёклу по готовности остудить  почистить и нарезать на небольшие кусочки  в стакан блендера переложить свёклу и добавить натуральный йогурт   грамм   пробить все ингредиенты на максимальной скорости в течение  минуты  полученный напиток перелить в стакан и сверху выложить остатки йогурта  грецкие орехи   грамм  порубить и украсить ими перед подачей напиток  сливочно свекольный смузи готов к подаче  приятного вам аппетита  
29;для приготовления латте макиато нужна вода  молоко   минимум     а лучше от    и более  и свежемолотый кофе мелкого помола  так как готовить эспрессо я буду в турке  у меня молоко     высокая жирность молока даёт хорошую  устойчивую пену  а также влияет на получение слоёв   из факторов получения слоёв  это разница плотности кофе и молока  варим эспрессо в турке  для этого заливаем кофе холодной водой  ставим на медленный огонь  перемешиваем и варим до момента  когда кофе готово вот вот закипеть  снимаем с огня  можно еще   раза прогреть кофе  снимая турку с огня  каждый раз до закипания  если у вас есть простая кофемашина и кофеварка  то готовим в ней крепкий кофе  нам нужно получить  мл крепкого кофе на выходе  у меня указано  мл воды  поскольку  мл я закладываю на жидкость  которая останется с гущей после фильтрования  теперь нужно процедить или отфильтровать кофе  избавимся от кофейной гущи  я для этого использовала бумажные фильтры для кофемашин  которые продаются в любом магазине бытовой техники  в отделе с кофемашинами  кофеварками и кофемолками  а также можно использовать и мелкое ситечко  теперь нагреваем молоко до  с  до кипения не доводим  это важно для получения слоёв  нам нужно просто горячее молоко  взбиваем молоко с помощью блендера или миксера в течение   минут  зависит от жирности   на молоке должна образоваться устойчивая воздушная пена  то есть внизу должно быть молоко  а сверху большой  высокий слой пены  а теперь ещё  секрет  видела в видео  как народ взбивает молоко довольно быстро   секунд  с помощью френч пресса  нужно активно двигать поршнем вверх и вниз  получалась отличная пена  видела это не в одном видео  честно скажу  что я так не делала  поскольку у меня нет френч пресса  но если у вас есть  то попробуйте взбить молоко таким образом  и отпишитесь сюда  пожалуйста  получается ли  переливаем молоко с пеной в бокал  в котором будем подавать  перелив молоко в бокал  вы уже получите  слоя  внизу молоко  сверху пена  теперь наша задача получить между ними кофейный слой  кофе  после фильтрования  перед тем как вливать его в молоко  я опять нагреваю почти до кипения  поскольку у меня оно в процессе фильтрации довольно сильно остывает  а разница температур молока и кофе  тоже залог получения слоёв  кофе должен быть горячее молока  вливаем аккуратно  тонкой струйкой  кофе в молоко  кофе сразу же занимает своё место между молоком и пеной  проходя через пенную шапку  кофе оставляет на пенке вот такое вот пятно  которое и дало название этому напитку  обычно  я сверху ещё докладываю немного пенки  которой у меня часто получается с небольшим запасом   и посыпаю молотой корицей  можно посыпать тёртым шоколадом или какао  подаём сразу  с добрым утром  
30;для приготовления вам понадобится свежий шпинат  огурцы  мята  кинза свежая  кефир  подготовить листья шпината   г   листочки отделить от стебля  хорошо промыть под проточной водой и откинуть на дуршлаг  дождитесь  пока стечёт вся лишняя жидкость   свежих огурца почистить от кожуры и нарезать  пучок свежей кинзы   г  промыть под проточной водой и обсушить  пучок кинзы разрезать примерно на   части  в стакан блендера переложить огурцы  кинзу  шпинат и листочки мяты   г   влить кефир   мл  либо же другую жидкость  пробить всё до однородного состояния  на этом этапе можно добавить соль или перец  смузи с огурцом и шпинатом разлить по бокалам и можно подавать  приятного вам аппетита  
31;для приготовления лимонада тархун нам понадобится эстрагон  сахар  вода  сильногазированная вода  лимон  эстрагон порвать на небольшие кусочки  в чашу кухонного комбайна  насадка металлический нож  поместить эстрагон и сахар  измельчить до образования однородной массы  залить образованную массу  мл кипятка  добавить порезанный лимон  накрыть крышкой и настаивать  минут  процедить настой через сито  налить в кувшин настой и добавить сильногазированную воду  лимонад готов  
