Номер;Рецепт
11;подготовьте необходимые фрукты  яблоко вымойте  нарежьте на ломтики  удалите сердцевину  киви очистите  нарежьте ломтиками  мандарины разберите на дольки  фрукты поместите в дуршлаг и опустите их в кипяток  варите в течение   минут  выньте из воды  в отвар добавьте сахар  варите в течение  минут  добавьте лимонную кислоту или лимонный сок  банки и крышки вымойте  простерилизуйте  в банки заложите фрукты  залейте сладким отваром  закрутите крышками  укутайте в тепло  дайте остыть  угощайтесь  
12;ядра миндаля залейте крутым кипятком  дайте ему постоять  затем остудите орехи и снимите с них кожицу  обжарьте миндаль на сухой сковороде  добавьте абрикосовые косточки  содержимое сковороды порубите ножом   пересыпьте миндаль и абрикосовые косточки в двухлитровую банку  добавьте к ним ваниль  корицу  кофе  гвоздику  перец  сделайте сироп  для этого насыпьте сахар на сковороду  добавьте сто миллилитров воды  доведите все до состояния карамели  затем влейте остаток воды и перемешайте   получившимся сиропом залейте миндаль и абрикосовые косточки  затем залейте все водкой  плотно закройте банку крышкой  поставьте ее в темное место на один месяц  через день обязательно встряхивайте банку  спустя положенное время можно будет снимать первую пробу   
13;ингредиенты  чистим и нарезаем тонкими пластинками корень имбиря  в общей сложности  нам понадобится  стакана нарезанного имбиря  положите имбирь в кастрюлю среднего размера  далее нужно добавить  стакана воды  ставим кастрюльку на средне сильный огонь и доводим до кипения  кипятим на медленном огне  минут  затем снимаем с огня  накрываем крышкой и даем настояться около  часа  через час процеживаем жидкость через мелкое сито  оставшийся имбирь нам уже не понадобится  процеженную жидкость наливаем обратно в кастрюлю  добавляем сахар и ставим на медленный огонь  прогреваем сироп до полного растворения сахара  затем снимаем с огня и остужаем  охлажденный имбирный сироп наливаем в баночку или бутылочку и отправляем на хранение в холодильник  имбирный сироп готов  а теперь мы приготовим непосредственно имбирный эль  для этого выдавим сок из лайма  затем смешиваем сок лайма с листьями мяты  имбирным сиропом и газированной водой  я считаю идеальным следующее сочетание   часть сока лайма   части имбирного сиропа и  части газировки  листья мяты   по вкусу  смешиваем жидкости в вышеуказанных пропорциях  разливаем ее по стаканам  непосредственно в стаканы добавляем лед  украшаем и подаем  освежающий имбирный эль готов  
14;берем апельсины  хорошо моем и обливаем кипятком  затем засовываем апельсины на ночь в морозилку  заморозка уберет всю горечь из фруктов  утром достаем апельсины из морозилки и размораживаем  заем нарезаем на дольки  перекручиваем дольки апельсинов через мясорубку вместе с кожурой  после заморозки она не горькая  теперь заливаем перекрученные апельсины  литрами холодной воды и настаиваем минут    затем процеживаем и добавляем сок лимона и сахар  хорошенько размешиваем и разбавляем водой до нужного вам вкуса  воду можно брать минеральную  кипяченую и просто с колодца   на ваш вкус  поставьте лимонад в холодильник на часик  чтобы он настоялся  
15;подготовьте необходимые продукты   из апельсинов надо выжать сок  яблоки  очистите и нарежьте дольками   соедините все ингредиенты в чаше измельчителя  пробейте до однородности   франгриа готова  
16;  в сотейник вылейте сливки  добавьте ириски  корицу и другие специи по желанию  я еще добавила немного кардамона   далее на маленьком огне растворите ириски и доведите массу до густой консистенции     после этого немного охладите сливки и вместе с мороженым смешайте их с помощью блендера     заполните примерно половину стакана получившейся массой  затем налейте немного охлажденную газировку и перемешайте  сверху добавьте взбитые сливки и украсьте все сиропом  приятного аппетита  
17;нарезаем хлеб на ломтики и подсушиваем в духовке  можно даже слегка пересушить  чтобы на некоторых кусочках образовалась очень темная корочка  перекладываем хлеб в большую кастрюлю или ведро и заливаем кипятком  добавляем сахар  перемешиваем и оставляем остывать градусов до   в небольшую чашку выкладываем дрожжи  добавим к ним ложку сахара  если будете использовать сухие дрожжи  добавьте немного воды из кастрюли с хлебом  дрожжи должны подняться пенной шапочкой  выливаем их в кастрюлю с остывшим запаренным хлебом  перемешиваем  размокший хлеб можно измельчить  можно оставить бродить в ведре  а можно распределить по банкам  только не заливайте их до самого верха  закроем горлышко банки марлей и крышкой с дырочками  оставим в теплом темном месте на пару дней  пусть бродит  а теперь нам необходимо все процедить через льняное полотенце  тщательно отжимаем  размокший хлеб можно использовать как закваску для следующей порции кваса  получившуюся жидкость разливаем по бутылкам  но опять не заливаем до самого верха  можно добавить по несколько изюминок в каждую бутылку  ставим в холодильник еще на сутки двое  а затем уже можно пробовать квас  
18;  тыкву разрежьте  удалите семечки  очистите от кожуры и нарежьте на небольшие кусочки    мякоть тыквы пропустите  через мясорубку или натрите на крупной терке    из воды и сахара сварите сироп  для этого залейте сахар водой и  помешивая  доведите до кипения  сахар должен раствориться    мякоть тыквы выложите в кастрюлю  залейте кипящим сахарным сиропом   варите мякоть в сиропе на слабом огне в течение  минут  затем снимите кастрюлю с огня и остудите    охлажденную сваренную тыкву протрите через сито  верните сок в кастрюлю    добавьте в тыквенный сок свежевыжатый сок лимона  сок доведите до кипения  затем варите в течение  минут    пока сок варится  подготовьте банки и крышки  простерилизуйте их  готовый горячий сок разлейте по горячим банкам и закатайте  храните тыквенный сок  приготовленный в домашних условиях  в темном и прохладном месте    а если желаете просто попить свежеприготовленный тыквенный сок  то следуйте следующему рецепту  понадобится  мякоть тыквы  столько  сколько у вас есть   одно яблоко и  ч л  смеси специй  корица  мускатный орех  имбирь  мякоть тыквы измельчите блендером и выложите в кастрюлю  добавьте специи  доведите до кипения  готово    готовый сок можно процедить  охладите его и подавайте к столу  приятного аппетита   
19;вишню сполосните прохладной водой  удалите косточки  заложите в х литровую банку вишню   палочку корицы и гвоздику  залейте водкой  закройте крышкой  поставьте на    день в темное место  после процедите  отожмите настоянную ягоду  в настой добавьте сахар  перемешайте  закройте крышкой и поставьте в темное место на  неделю  сахар должен полностью раствориться  настойку процедите через марлю  сложенную в   слоя  храните в темном  прохладном месте  перед употреблением вишневую настойку охладите в холодильнике  
20;подготовьте необходимые ингредиенты  приступим  срежьте крышку  удалите мякоть с прожилками из апельсина  чтобы получился пустой сосуд  всыпьте сахар  кофе  залейте водой    поставьте на маленький огонь и доведите до кипения кофе в апельсине  как только появится пенка  протомите еще минутку кофе  он должен почти кипеть  снимите апельсин с огня  перелейте кофе в чашечку и наслаждайтесь этим сказочным ароматом  хорошего дня  
21;персики промойте  заложите в стерилизованную банку   л    лимонный сок соедините с сахаром и водой   л   размешайте до растворения сахара  залейте персики   долейте необходимое количество воды  не доходя до горлышка банки на  см  прикройте банку чистой крышкой и поставьте в кастрюлю на плотную ткань  залейте теплой водой по  плечики  банки  на сильном огне доведите воду до кипения и простерилизуйте банки с компотом в течение  минут  закатайте крышку  укутайте теплой тканью до полного остывания  храните в прохладном месте  
22;  заранее приготовьте фруктовое желе  можно взять один цвет или несколько  как нравится  хорошо охладите молоко  мороженое должно быть только из морозилки    мороженое и молоко взбейте в блендере или чоппере до появления пены  у меня ушло пару минут    желе достаньте чайной ложкой из стаканчиков и положите в чоппер к молочной массе  включите машинку еще на несколько секунд    готовый коктейль разлейте по стаканчикам и подайте с толстыми трубочками    угощайтесь  такой симпатичный и вкусный коктейль  мозайка   
23;подготовьте необходимые ингредиенты  фрукты  листья и ягоды вымойте  яблоки и персики нарежьте дольками  сердцевину и косточки выбросьте  апельсин нарежьте кружками  чайник ополосните кипятком  заложите фрукты  ягоды и корицу в чайник  чай и листья в заварочный стакан  залейте кипятком и дайте настояться в течение  минут   удалите заварку  дайте настояться летнему чаю с фруктами и ягодами еще  минут  по желанию добавьте кубики льда   приятного чаепития  
24;подготовьте фильтрованную воду  кофе  кардамон молотый и сахар  по желанию   доведите воду до кипения  положите в чашку кофе  кардамон  если нужно  сахар  залейте кофе кипятком  ложкой аккуратно перемешайте  кофе готов  приятного дня  
25;  в блендере или большом кувшине смешайте йогурт с водой    добавьте соль и лед    очистите и добавьте к другим ингредиентам зубчики чеснока    промойте и добавьте в посуду листики мяты    взбейте все ингредиенты айрана блендером    разлейте айран по стаканам и подавайте  приятного аппетита  
26;сливы переберите  уберите порченные  промойте под проточной водой  проколите фрукты зубочисткой или вилкой в нескольких местах  чтобы плоды не лопнули при стерилизации  в кастрюльке соедините воду  сахар  корицу и гвоздику  доведите до кипения  варите сироп до растворения сахара  сливы заложите в стерилизованную   л банку  залейте горячим сиропом  прикройте чистой крышкой  банку со сливами поставьте в кастрюлю с горячей водой  вода должна доходить до  плечиков  банки  доведите воду до кипения  стерилизуйте банку в течение  минут  закатайте крышкой  остудите при комнатной температуре  храните в прохладном и темном месте  
27;подготовьте ингредиенты  вскипятите воду  добавьте сухой хлебный квас  снимите с огня  накройте крышкой  дайте ему настояться и охладиться до комнатной температуры  процедите квас  перелейте квас в банку  в процессе фильтрации количество кваса уменьшилось в объеме  можно оставить так  а можно добавить кипяченой воды до нужного объема  для получения более насыщенного вкуса можно добавить немного больше сухого хлебного кваса  добавьте сахар по вкусу  размешайте  растворите дрожжи в небольшом количестве кваса и влейте дрожжевой раствор в банку  добавьте   чайной ложки лимонной кислоты  оставьте квас в теплом месте для брожения  через   часа  в зависимости от активности дрожжей  начнется активный процесс брожения  появятся пузырьки  попробуйте квас на вкус и если он вас устраивает  охладите и подавайте к столу  при необходимости оставьте еще для брожения   вкусный и освежающий напиток готов  
28;подготовьте все ингредиенты  овощи моем  очищаем  нарезаем произвольно  но стараемся не мельчить  и складываем в форму для запекания  добавляем масло  измельченный чеснок  соль  специи  у меня прованские травы  и все хорошо перемешиваем  даем овощам постоять буквально   минут и добавляем томатный сок  хорошо все перешиваем  накрываем форму фольгой и запекаем овощи при  градусах  минут  тем временем рис промываем и отвариваем в подсоленной воде до готовности  как только овощи в томатном соке будут готовы  достаем их и аккуратно  чтобы не обжечься  снимаем фольгу  кладем на тарелку гарнир и сверху выкладываем запеченные овощи  подаем порционно  приятного аппетита  
29;подготовьте все необходимые ингредиенты  помидорчики выбирайте небольшого размера  не слишком мягкие  самые крупные и мягкие  переспевшие помидоры предварительно пропустите через соковыжималку  первым делом приготовьте томатную заливку  для этого свежий томатный сок посолите по вкусу  на л  я обычно добавляю  ч  ложки соли   также добавьте перец горошком  поставьте сок на огонь  доведите его до кипения  после закипания варите   минут  тем временем подготовьте помидоры  промойте их  уберите все поврежденные или помятые  каждый помидор нужно проткнуть иглой или зубочисткой  так они не лопнут в банке и сохранят свою форму  сложите помидоры в банки   залейте помидоры томатным соком  прикройте банки металлическим крышками  стерилизуйте   минут  затем банки закатайте и укутайте  помидоры в томатном соке на зиму готовы  они будут прекрасно храниться всю зиму  и даже не одну   
30;приготовим продукты для напитка  отрезаем нужный кусочек корня  очищаем от кожуры и режем тонко  в чашу для блендера наливаем кефир  добавляем корицу и имбирь  взбиваем до однородного состояния  напиток готов  приятного  
31;подготовьте продукты для напитка  малину переберите от испорченных ягод  промойте под водой и откиньте на дуршлаг  чтобы стекла влага  в высокую тару для взбивания перелейте йогурт  добавьте сахар  сыр и малину  сахар можно заменить пудрой или медом  блендером пюрируйте массу до однородного воздушного состояния  смузи готов  перелейте в высокий стакан и наслаждайтесь вкусом лета  
32;подготовьте для мохито все ингредиенты  воду или спрайт заранее охладите  тщательно вымойте мяту и клубнику   возьмите чистые и сухие стаканы  на дно положите листочки мяты  количество листочков  примерно по  штук  насыпьте сахар  чаще всего кладут коричневый сахар  он имеет приятный карамельный оттенок  но можно использовать и белый  пестиком подавите листочки мяты с сахаром  грубые кристаллы сахара пустят сок мяты  вы сразу почувствуете аромат  у клубники оборвите хвостики  порежьте ягоды на  части  положите их в бокалы  выжмите туда сок лимона или лайма  можно добавить даже дольки  если желаете  положите по несколько кубиков льда  залейте коктейль сильногазированной минералкой  украсьте целыми клубничками  листочками мяты  поставьте трубочки  угощайтесь  
33;приготовьте свежие цветы бузины  сахар  воду  и фруктовую часть  у меня это крыжовник   оборвите листья  они нам не пригодятся  сами же соцветия хорошенько промойте от пыли  дайте стечь воде  отрежьте крупные веточки  в кастрюлю сложите крыжовник  цветы бузины и сахар  залейте водой  доведите до кипения и проварите пару минут  готовому компоту дайте хорошо настояться  приобрести цвет и вкус  после отцедите и охладите  приятного аппетита  
34;фрукты тщательно промываем водой  режем их на средние по размеру кусочки  измельчаем в блендере до состояния пюре  процеживаем грушевое пюре через сложенную вдвое марлечку  стараемся выжать максимальное количество жидкости  в один литр воды высыпаем сахар  ставим кастрюлю на огонь  варим сироп  затем процеженный грушевый сок заливаем получившимся сиропом и оставшейся водой  ложкой перемешиваем  разливаем по банкам и ставим в теплое место  каждую банку закрываем крышечкой с гидрозатвором  вино обычно бродит около месяца  через месяц можно пробовать  также можно оставить вино дозревать еще на три месяца  чтобы вкус получился более полноценным  готовое вино следует еще раз процедить и разлить по бутылкам  приятного аппетита  
35;подготовьте необходимые продукты  заварите крепкий кофе  остудите  разлейте кофе и   объема сливок в формочки для льда  поместите в морозильник на час  шоколад и  ст  л  сливок растопите в кастрюле с двойным дном  кофейный лед  виски и сахар по вкусу  примерно  ст  л   смешайте до крупной крошки с помощью  блендера в режиме пульсации  добавьте сливочный лед  смешайте  влейте растопленный шоколад  смешайте  оставшиеся сливки взбейте до пышности  разлейте десерт в бокалы  украсьте взбитыми сливками  приятного аппетита  
36;  для приготовления наливки из малины в домашних условиях требуется немного   спелые ягоды  водка и сахар  такой напиток великолепно подойдет к любому праздничному столу и в качестве аперитива во время обеда    обязательное условия   водка хорошего качества  пропорции такие  на  литровую банку насыпьте малину под  плечики   добавьте стакан сахара и залейте водкой  ягоды должны полностью погрузиться в жидкость  накройте банку крышкой и уберите в темное место     через  месяца достаньте наливку  лучше ее настаивать в холодильнике и затем там же хранить  перед разливом в бутылку тщательно перемешайте ягоды  но постарайтесь не разломать их   в бутылке они будут превосходно смотреться   
37;для начала подготовьте все специи  отмерьте необходимое количество и сложите все специи в кастрюльку  имбирь пока не добавляйте  все специи  кроме имбиря  залейте водой  доведите до кипения и проварите  минут  теперь добавьте щепотку черного чая  имбирь  сахар  перемешайте  туда же влейте стакан молока и снова доведите до кипения   как только чай закипит  снимите его с огня  закройте крышку и дайте настояться  перед тем  как разливать его по чашкам  процедите через сито  чтобы убрать кусочки специй  когда чай немного остынет  можете наслаждаться  приятного чаепития и хорошего настроения  
38;подготовьте ингредиенты  воду возьмите кипячёную или фильтрованную  в воду добавьте томатную пасту  щепотку соли и перец  хорошо всё перемешайте  томатный сок готов    очень яркий  с насыщенным вкусом   
39;в кастрюле среднего размера доведите воду до сильного кипения  когда вода закипит  добавьте чай и снимите кастрюлю с огня   процедите чай через сито  добавьте сироп  перемешайте  чтобы он растворился  остудите до комнатной температуры  для подачи в каждый бокал положите кубики льда  на   налейте охлаждённый чай  сверху добавьте в каждый стакан   ст  л  концентрированного молока  подавайте  когда молоко стечет по льду и смешается с чаем  
40;подготовим продукты для кваса  воду поставьте на огонь  доведите до кипения и остудите до комнатной температуры  порежьте хлеб кубиками и немного подсушите в духовке   в трехлитровую бутыль сложите сухарики  сахар  залейте водой  накройте марлей и оставьте в тепле на   дня  квас должен забродить  на фото вы видите уже готовый квас  процеживаем его  разливаем по бутылкам  плотно закупориваем и отправляем в тепло еще на   часов  чтобы он набрался газа  после охлаждаем и наслаждаемся  приятного  
