Номер;Рецепт
11;а если еще добавить клубничные пирожные   мммм      ошпарить кипятком чайник  всыпать чай  положить вымытые ягоды клубники  мяту и мелко натертую цедру  залить кипятком  накрыть полотенцем   и пусть настаивается   минут      готовый чай разлить по чашкам  добавить по вкусу ликер или сироп  сахар  положить несколько ягод клубники и веточку мяты  этот  чай  можно пить холодным  добавив   кубика пищевого льда  приятного чаепития      
12;молоко вскипятить  перелить в литровую банку  остудить до температуры такой что когда вы трогаете молоко пальцем да простит мне санэпидемстанция не будет обжигать но и не будет холодным  вобщем  до приятно горячего   добавить сметану хорошо перемешать закрыть крышкой укутать  сначала газетой потом одеялом оставить примерно на  часов лучше делать на ночь сметана играет здесь роль закваски для последующих заквашиваний брать мацун который вы готовили до этого  
13;имбирь очистить от кожицы и нарезать тонкими ломтиками  лимон вместе с кожурой нарезать на небольшие кусочки  кладем  эти ингредиенты в заварочный чайник  добавляем мед  заливаем небольшим количеством холодной воды  размешиваем до растворения меда   заливаем кипятком   даем настояться минут  и наслаждаемся ароматным чайком  
14;банан очистить от кожуры и нарезать небольшими кусочками   влить охлажденное молоко в чашу блендера  добавить сахарную пудру и бананювзбить смесь   минуты до полного измельчения банана   приятного вам аппетита  
15;цитрусовый чай чёрный час с насыщенным пряным вкусом и ароматом  корочки апельсина и лимона дарят ему лёгкую цитрусовую нотку и красивый яркий цвет  состав   г чёрного чая хорошего качества   ст л  кардамона  ч л  гвоздики  палочка корицы   ч л  душистого перца  апельсин  лимон  г сушёной клюквы  я не использовала приготовление  сначала нужно будет высушить цитрусовые   лимон и апельсин нарезать тонкими кружочками  разложить на противне на пергаментной бумаге и сушить в духовке при  градусах около   часов  через час ломтики цитрусовых нужно будет перевернуть на другую сторону  я ещё и заменяю бумагу на новую  и затем следить за ними  время от времени переворачивая и вынимая ломтики  которые высушились раньше других  таким способом мне удалось хорошо высушить апельсины  на фото слева   а вот лимоны слишком быстро начинали подгорать  мякоть просто моментально становилась очень тонкой и чернела  на фото справа   хотя и была ещё влажной и недосушенной    два раза переделывала  оба раза с тем же результатом  хотя внимательно следила за ними      в общем  больше лимоны сушить так не буду     вообще  на мой взгляд  для этого чая можно высушить не целые дольки  а просто корочки лимона и апельсина  это будет гораздо проще и удобнее  в следующий раз я так и сделаю    все специи прогреть на сухой горячей сковородке около   минут  затем растереть или смолоть их  для этого можно воспользоваться блендером  можно ступкой  в ступке получается ароматнее   а можно просто завернуть все специи в кусочек ткани и побить молотком сверху  чтобы они раздробились  не нужно  чтобы специи превратились совсем в мелкий порошок  достаточно будет размолоть их так  чтобы остались мелкие кусочки  измельчить и цитрусовые  снова не до порошка  а чтобы остались кусочки   смешать цитрусовые и специи с чаем  положить в герметичный контейнер с крышкой и оставить настаиваться  недели  уже через неделю чай становится очень ароматным  но лучше набраться терпения и подождать подольше       далее заваривать как обычный чай    яблочный чай этот чай с более мягким ароматом  чуть сладковатым и очень приятным  яблоки для его приготовления лучше выбирать небольшие  сочные и ароматные  состав   небольших яблока сок  лимона  ст л  сахара  ст л  гвоздики  палочки корицы   г чёрного чая хорошего качества яблоки разрезать  удалить сердцевину и нарезать небольшими кубиками  смешать нарезанные яблоки с лимонным соком и сахаром  хорошо перемешать  разложить яблоки на противне в один слой  сушить в духовке при  градусах до готовности  это может занять от   до   часов  но лучше не пересушивать  они не должны стать тёмными  после этого дать яблокам полностью остыть на противне  вынув его из духовки  корицу и гвоздику прогреть на сухой горячей сковороде около   минут  размолоть или растереть в ступке  смешать тщательно чай  высушенные яблоки и специи  положить в герметичный контейнер с крышкой и оставить настаиваться  недели  яблочный чай готов    ароматных вам праздников   
16; смешать молотый кофе с молотым цикорием  сварить крепкий кофе  пока готовится кофе подогреть молоко и чашки для напитка  разлить кофе по чашкам и добавить молоко  угощайтесь  
17;спелую сливу вымыть  высушить  разрезать пополам и удалить косточки  сложить в банки  пересыпая послойно сахаром  не заполнять банки доверху   закрыть банки чистой тканью и завязать  выставить на солнце  оставить на   дня до появления сока  время от времени встряхивать банки  чтобы поверхность всех слив смачивалась образующимся соком   у меня банки стояли всего сутки  т к  выделилось уже достаточно много сока  после того  как появился сок  залить сливы водкой  жидкость должна полностью покрывать фрукты   водка названа в честь русского президента     банки закрыть крышкой  поставить в тёмное прохладное место и настаивать не менее месяца  время от времени встряхивая  через месяц наливка будет готова  её нужно процедить и разлить по бутылкам  вот такая красота получается     
18;у меня льняной муки нет  поэтому перемолола в кофемолке семена льн  банан порезать на кусочки  залить кефиром  добавить какао  льняную муку  ванильный сахар  мед все взбить блендером и перелить в бокал приятного аппетита   
19;на  порцию  в скобках мои примечания молока  мл жирностью от     жирность влияет устойчивость пены  мл  эспрессо  у меня просто крепкий кофе и где то мл  специальный венчик для макиатто  у меня его нет пользуюсь обыкновенным венчиком но взбивать надо быстро для сервировки   стаканмолоко подогреть до примерно  но не кипятить так как будет сложно взбить его в пену начинаем взбивать уже во время нагревания в пышную пену даём постоять минутку другую наливаем в стакан  свежезавареный  горячий еспрессо у меня кофе наливаем осторожной струйкой в молоко из кофейничка например тогда получается вот такайа  комбинация   белое коричневое белая шапкаа так получается если наливать кофе слишком быстро пробуйте на здоровье немного информации материал из википедии  свободной энциклопедиилатте макиато  итал     запятнанное молоко   горячий напиток  состоящий из кофе эспрессо и молока в пропорции около    на одну часть эспрессо три части молока  напиток подаётся в высоком стеклянном стакане с длинной ложечкой для мороженого и соломинкой и состоит из трёх слоёв  которые не смешиваются друг с другом  первый слой  горячее молоко  второй  кофе эспрессо  последний  верхний слой  высокая пена  взбитая из молока  эспрессо не смешивается с первым молочным слоем благодаря более высокой температуре и более низкой плотности  нежели жирное молоко добиться необходимой слоистости проще всего  влив эспрессо в напиток последним  пропустив его через слой пены стабильную воздушную пену возможно получить только используя специальные аппараты для пеносбивания  при этом пена из цельного молока держится дольше  нежели из обезжиренного  благодаря своей сбалансированной структуре белков и жиров  пена для латте должна быть более пышной и воздушной  чем пена для капучино  данная тема была исследована в институте химии и технологии молока города киль  германия   в результате проделанной работы было доказано  что  чем выше температура молока  а также содержание в нём белков и жиров  тем стабильнее получается пена для латте макиато и капучино латте макиато изначально готовился для детей  дабы  с одной стороны  позволить детям пить кофе наравне со взрослыми  а с другой  избавить детский организм от избытка кофеина  напиток очень популярен в центральной и западной европе среди всех слоев населения и является культовым напитком яппи  пенный слой обычно посыпают шоколадной крошкой или какао порошком латте подаётся в айриш бокале  в специальной чашке большого объёма или в высоком стакане с трубочкой  в напиток можно добавлять любые сиропы  предназначенные для приготовления кофейных коктейлей  кроме цитрусового  так как из за него сворачивается молоко   сочетание кофе латте и сиропа с чёрной смородиной считается наиболее удачным  
20;лимон и имбирь нарезать  положить в чашку и потолочь  добавить по   ст  л  сиропа  листики мяты и залить кипятком  настаивать не надо  можно сразу подавать  скажу от себя  что этот напиток благоприятно влияет на полный желудок   вроде все просто  но очень вкусно  ну и полезно тоже   приятного аппетита     
21;берем большой грейпфрут  холодный  из холодильника   разрезаем напополам  ложкой выбираем мякоть  освобождаем от всех пленочек и пробиваем в блендере с  ст л  меда примечание  цитирую автора  содержит в себе ценные элементы     пектин  который способствует эффективному выводению из организма излишков холестерина и нормализации обмена веществ    ликопен который помогает справляеться с токсинами  шлаками и неблагоприятной экологией       несколько глотков такого эликсира   после обеда  способны сжечь почти половину калорий  полученных во время еды      обладает хорошим лечебным эффектом при гипертонии и заболеваниях сердечно сосудистой системы не знаю почему  но пить его нельзя каждый деньдля информации сок грейпфрута противопоказан людям  принимающим лекарства от гипертонии и других сердечно сосудистых заболеваний  а также от аллергии  в этом случаеполезно съедать целые плоды  мякоть  пленки и перегородки  апельсины и другие цитрусовые культуры могут вызвать мигрень лимоны и грейпфруты противопоказаны при высокой кислотности желудочного сока  при язве желудка и двенадцатиперстной кишки  колите и энтерите    
