Номер;Рецепт
45;   выжимаем сок из половинки лимона     всыпаем порошок куркумы в чашку     так как напиток должен быть тёплым  то сначала кипятим воду  а затем остужаем её до температуры тела   заливаем куркуму   по желанию добавляем щепотку корицы  лимонный сок и мед   напиток готов  советую также обратить внимание на рецепт приготовления еще одного целебного напитка из шиповника  боярышника и терна    приятного аппетита   
46;   тыкву хорошо вымойте  смойте с кожуры все загрязнения  затем нарежьте некрупными кусками  полосками  и очистите от кожицы  серединку с семечками срезайте  семена можно высушить  а волокнистая часть нам не понадобится  нарежьте тыквенную мякоть кубиками небольшого размера      переложите тыкву в кастрюлю  влейте стакан воды или столько  чтобы полностью покрыть кусочки тыквы  доведите до кипения  накройте плотно крышкой и варите на малом огне минут        тыква должна стать очень очень мягкой  чтобы при нажатии кусочек превращался в пюре  если выкипела вода  не страшно  потом добавите сколько понадобится       погружным блендером измельчите тыкву в пюре  измельчайте тщательно  чтобы не попадались даже мелкие кусочки мякоти  для более однородной консистенции можете протереть пюре через сито или дуршлаг с мелкими дырочками            добавьте воды до нужной густоты сока  нагрейте почти до кипения  всыпьте лимонную кислоту  размешайте и дайте соку закипеть       в закипевший сок добавьте сахар  положите сначала треть стакана сахара  растворите кристаллы и попробуйте сок на вкус  если недостаточно  добавьте еще  тыква бывает разная  излишек сахара сделает сок приторно сладким  варите сок две три минуты  помешивая       подготовьте заранее банки и крышки для консервирования сока  вымойте банки моющим средством  хорошо сполосните и простерилизуйте над паром  в микроволновке или прокалите в духовом шкафу  крышки обязательно прокипятите минут пять при сильном кипении воды  разлейте кипящий сок по чистым емкостям и тут же герметично закрутите винтовыми крышками или закатайте машинкой      банки с тыквенным соком прикройте толстым полотенцем или пледом и оставьте остывать на   часа  затем переставьте в кладовую для хранения  удачных вам заготовок   смотрите и другие варианты приготовления сока из тыквы на зиму   
47;   прежде всего  процесс приготовления начните с самого сложного  вымойте тщательно калину   затем переберите ее  обрывая ягоды  снова их промойте  выложив в сито  именно в нем удобнее всего мыть любые ягоды     после этого переложите ягоды  с помощью столовой ложки  чтобы их не подавить в банку с водкой     интенсивно все перемешайте  удобнее всего это делать специальной большой ложкой     накройте банку марлей  а затем наденьте резинку  можно надеть специальную пластиковую крышку с дырочками          через месяц  хотя скажу честно  я никогда столько не дожидаюсь  процедите через марлю настойку  перелейте ее в красивую бутылку  закройте ее крышкой и храните настойку в холодильнике  думаю  вам понравится и такая настойка из мяты на водке    
48;   налейте в стакан охлажденный кефир  нежирный или обезжиренный     теперь насыпьте в стакан молотую корицу     теперь добавьте красный молотый перец      почистите корень имбиря  натрите его на мелкой терке  мелко нарежьте или пропустите через специальный пресс для чеснока  отправьте имбирь в стакан кефира  рекомендуется использовать именно корень  а не сушеный и молотый имбирь  я для вас также подготовила рецепт супа для похудения из сельдерея  лука  болгарского перца  помидоров          теперь все нужно перемешать и можно сразу же пить  вообще  рекомендуют не хранить готовый коктейль в холодильнике  а каждый раз готовить свежий перед употреблением  красный перец уменьшает аппетит  кефир помогает вывести шлаки из организма  нормализует пищеварительные процессы  корица приводит в норму уровень сахара в крови  а имбирь обладает противовоспалительным и противомикробным действием   
49;   для сока не понадобятся отборные помидоры  но они должны быть спелыми  без повреждений и подпорченных участков  томаты тщательно промываем под проточной водой      нарезаем дольками или некрупными кусочками  светлые участки или пятнышки вырезаем       порциями закладываем в блендер  измельчаем в однородное пюре  удобнее измельчать погружным блендером  но стационарный тоже быстро справится с этой работой       над большой миской устанавливаем сито или дуршлаг с мелкими дырочками  понемногу наливаем сок  протираем деревянной лопаткой или ложкой  после каждой порции жмых и семена выбрасываем чтобы не засорять ячейки           протертую помидорную мякоть выливаем в кастрюлю  в которой будем варить сок  ставим на средний огонь       помешивая  доводим сок до кипения  уменьшаем огонь  пену собираем  варим томатный сок десять минут  если нужно сделать его погуще  провариваем еще минут пять на среднем огне       одновременно с варкой сока стерилизуем банки и кипятим крышки  в готовый сок добавляем соль по вкусу и немного сахара  если помидоры кислые   размешиваем  кипятим минуту      половником разливаем сок по чистым горячим банкам  наливаем под самую крышку  отступая от края на   см  закручиваем винтовыми крышками или закатываем машинкой            банки с соком переворачиваем на крышку или кладем на бок  укрываем плотно и оставляем остывать на   часа  остывший сок выносим на хранение в прохладное темное место или ставим в кладовку  срок хранения не более двух лет  но обычно сок быстро выпивается и к лету ничего не остается  удачных вам заготовок   еще очень вкусным будет томатный сок на зиму с болгарским перцем   
50;   для начала подготовим тыкву  в нашем варианте это тыква сорта кашник  она имеет более сладкий вкус  нежели другие сорта  разрезаем тыкву вдоль на две половины  выскабливаем острой частью ложки всю мякоть и семена  теперь удаляем огрубевшую кожицу тыквы  мякоть споласкиваем в прохладной воде  просушиваем      берем терку  натираем нашу тыкву средней или мелкой стружкой  желательно не упускать этот момент  он очень важен  просто порезать кусочками тыкву и сварить  это не вариант  так как варить мы ее будем значительно дольше  а для сохранения большего количество полезных веществ  процесс варки значительно сокращаем именно тем  что тыква будет натерта      итак  в кастрюлю вливаем фильтрованную воду      сразу же закладываем подготовленную тыкву           всыпаем порцию сахарного песка  выдавливаем сок апельсина  благодаря добавлению апельсина  нас сок на выходе будет иметь приятный цитрусовый оттенок  кроме тыквенного сока  я каждый год готовлю томатный сок без стерилизации на зиму      отправляем кастрюлю на плиту  варим тыкву и сахаром и апельсиновым соком примерно  минут  через указанное время аккуратно снимаем кастрюлю с плиты  при помощи погружного блендера пюрируем содержимое до однородности  если вы желаете однородный гладкий напиток  процеживаем оранжевую смесь через самое мелкое сито  если же вы любите напитки с мякотью  оставляем все в покое после процесса измельчения      в нашем варианте мы все же процедили сок  сейчас можно добавить любые пряности  к примеру  палочку корицы или звездочку бадьяна  повторно доводим до кипения наш сок  провариваем   минуты  если пряности добавлялись  в конце обязательно отфильтровываем их      разливаем сок по сухим стерильным банкам           герметично укупориваем  переворачиваем вверх дном  следим  чтобы сок не просачивался  укрываем банки теплым одеялом  оставляем до полного охлаждения  храним сок из тыквы с апельсином на зиму в прохладном темном помещении  я недавно купила соковарку и первым делом я приготовила в ней грушевый сок на зиму в соковарке    приятного вам аппетита    
51;   подготовим все продукты для приготовления глинтвейна на основе белого вина  в глинтвейн можно добавлять различные фрукты и цитрусовые  мандарины  лимоны  апельсины  ананас  калину  чернику  киви  вишню  яблоки  груши  малина  абрикосы и сливы  можно подобрать набор на любого человека  фрукты могут быть замороженные  сушёные  любые  я использовала апельсин  сушёные яблоки и восточные специи  для аромата я добавляю жидкий мёд из акации и немного сахара  тогда глинтвейн очень полезен     наливаем вино в эмалированную кастрюлю  добавляем воду  ягоды калины свежей  палочку ванили  кардамон  гвоздику и бадьян     добавляем воду и полукольца апельсина  кожуру очищать не нужно  в цедре тоже много витамин     ставим на плиту  на медленный огонь  высыпаем сахар и выливаем мёд          перемешиваем  можно ещё для крепости добавить коньячка  грамм  иногда добавляют виски  бренди  хорошие бальзамы   когда вино будет по температуре градусов   нужно пробовать  выключаем газ  накрываем крышкой кастрюлю и даём настояться  минут     время прошло  разливаем готовый глинтвейн по кружкам  можно сразу не весь  чтоб не остыл  порциями  пить мелкими  глотками и наслаждаться приятным вкусом этого напитка   очень просто побаловать себя глинтвейном из белого вина  отлично из закусок подойдёт к нему красная рыба  сыр  шоколад   также рекомендуем вам рецепт пряного пунша   
52;   самый сложный процесс  это подготовка тыквы для приготовления сока  дело в том  что у некоторых сортов тыквы кожура очень жёсткая и порой срезать её бывает очень сложно  хорошо вымываем тыкву  вытираем её насухо и режем пополам   затем выбираем все семена и длинные волокна   после этого делаем нарезку плода на небольшие дольки     затем срезаем кожицу острым ножом или овощечисткой   снова режем плоды на более мелкие куски и укладываем их в кастрюлю   добавляем немного воды  только чтобы покрыла куски тыквы  и провариваем их   минут до готовности      точное время зависит от сорта и степени зрелости плода     даём тыкве остыть  а затем измельчаем её  для этого используем мясорубку  соковыжималку или кухонный комбайн   полученную тыквенную массу перекладываем обратно в кастрюлю  добавляем воду  столько чтобы получить нужную консистенцию напитка  и сахар  по вкусу            провариваем на среднем нагреве смесь около  минут  и всыпаем лимонную кислоту     переливаем напиток по подходящим ёмкостям  банки  бутли  и герметично укупориваем     как только банки остынут  выносим их для хранения в кладовую    приятного аппетита  
53;   заранее заморозить лед в кубиках из обычной воды   помыть веточки эстрагона и обдать кипятком лимон     листочки и мягкие веточки тархуна вместе с ломтиками лимона  а также листочками мяты или мелиссы  положить в емкость блендера      измельчить в кашу в течение  минуты на высокой скорости      посыпать ароматную массу сахарной пудрой  смешать содержимое емкости          залить лимонно травяную основу горячей кипяченой водой  примерный объем воды   мл      через   минут густой настой процедить через два слоя марли     марлю закрутить и выжать все соки из мешочка      в кувшин вылить холодную минералку  содержимое кувшина перемешать          домашний лимонад практически готов  ароматная жидкость красиво пузырится и просится в стакан     кубики льда можно добавить в общий кувшин     лимонад из тархуна с лимоном и мятой разлить в порционные стаканы  лед добавить для охлаждения  а также  чтобы сбалансировать насыщенность напитка     домашний лимонад незамедлительно подать домашним и гостям с веточкой эстрагона и листочками мяты      напиток на основе газированной воды со свежими травами и лимоном имеет очень насыщенный вкус и свежий аромат      лимонад из тархуна  приготовленный по этому рецепту  не подлежит длительному хранению  потому что приготовлен с добавлением минералки     вкусного вам лимонада и веселого пикника   автор  полина калинина  очень вкусным будет и мандариновый лимонад   
54;   тщательно моем помидоры  затем аккуратно острым ножом делаем небольшие неглубокие надрезы  далее кладём томаты в ёмкость и заливаем кипящей водой      через минуту воду сливаем и очень легко  практически без усилий  чистим их от кожицы   обязательно вырезаем место прикрепления к плодоножке  ведь там сконцентрировано наибольшее количество нитратов  которыми удобряли плоды во время роста  режем томаты на дольки и измельчаем любым  удобным способом     переливаем томатное пюре в кастрюлю  добавляем соль и провариваем   минут      при этом обязательно снимаем пенку  которая образовывается на поверхности сока          разливаем горячий томатный сок в стерилизованные банки и тут же их герметично укупориваем   как обычно  переворачиваем банки с соком и ждём  пока они полностью остынут  перед тем  как выносить их в кладовую на зиму    приятного аппетита    а вот как можно приготовить сок из моркови  свеклы и лимона   
55;   замороженный апельсин окунуть в горячую воду  вытереть насухо и нарезать острым ножом на кружочки  с первого взгляда может показаться  что разрезать ледяной фрукт невозможно  но это не так  апельсин режется легко  кожуру снимать не надо     в чистый холодный кувшин вылить мед     добавить немного кипяченой воды и тщательно размешать вилкой ложкой с длинной ручкой     апельсиновые заготовки разрезать на половинки или четвертинки в зависимости от величины фрукта и объема кувшина  кусочки апельсина отправить в кувшин          залить апельсины газированной или сильногазированной водой  оставив место для льда     лимонад размешать вилкой или коктейльной ложкой с длинной ручкой      при этом напиток будет сильно пениться  уже красиво     в кувшин высыпать просто ледяные кубики  также можно заранее заморозить ягоды в воде или ароматные травы  я использовала ледяные кубики с малиной  в качестве украшения добавить листочки мяты  мелиссы или веточку розмарина          лимонад из апельсинов в домашних условиях готов  зовите всех и угощайте ароматным и вкусным лимонадом  напиток с ярко выраженным апельсиновым вкусом с легкой горчинкой благодаря замороженной кожуре  лимонад подать в порционных стаканах  высоких фужерах или в кружках    теперь вы знаете  как приготовить вкусный напиток из замороженных апельсинов быстро и просто  пейте лимонад на здоровье   попробуйте еще вкусный и невероятно ароматный мандариновый лимонад   
56;     воду для лимонада вскипятите и оставьте на некоторое время  чтобы она остыла  полностью охлаждать ее не стоит  нужно дождаться только теплой температуры  в которой сможет растаять сахар  ну а тем временем  пока вода остывает  насыпьте сахар в посудину  в которой вы будете готовить лимонад  это может быть миска  кастрюля или литровая банка       воду теплой температуры налейте в емкость для приготовления лимонада  если вы готовите в кастрюле или миске  хорошенько размешайте ингредиенты ложкой  если же перед вами  банка с не слишком широким горлышком  просто закрутите ее крышкой и хорошенько потрясите     половину подготовленного лимона отложите в сторону  а из другой половины выжмите сок в посудину со сладкой водой  размешайте напиток       пучок мяты несколько раз промойте  чтобы на листьях точно не осталось загрязнений  оборвите с веток листики  именно они понадобятся для напитка  ведь сами веточки у этого растения достаточно жесткие   уложите на кухонную доску и измельчите ножом  как зелень для салата       сложите порубленную мяту в отдельную мисочку или глубокую тарелку и полейте ее соком оставшейся части лимона            кусочки мяты с лимоном переложите в общую посудину с лимонадом  хорошенько перемешайте  накройте крышкой и поставьте настаиваться в холодильник     лимонад со свежей мятой будет готов через час  за это время он хорошо настоится и станет холодным  перед подачей процедите лимонад через сито и при желании добавьте в стаканы по несколько кубиков льда  приятного вам аппетита и вкусных летних напитков     совет    лимон в этом рецепте можно заменить и другим цитрусовым  апельсином  грейпфрутом или лаймом  в таком случае  поменяется только привкус напитка  а его охладительные свойства останутся неизменными     попробуйте еще освежающий имбирный лимонад   
57; приготовление      ягоды мою и откидываю на сито      затем протираю облепиху через сито  чтобы остался наверху жмых  а в миску стекал только сок      в получившийся сок всыпаю сахарный песок  разбавляю немного водой  чтобы сок получился приятным на вкус и не сильно насыщенным  который не очень приятно пить             ставим облепиховый сок варится буквально на   минут  как только сок закипит  следим за временем и сразу же выключаем      разливаю сок в банки и закупориваю плотно       когда облепиховый сок остынет  то ставлю его в прохладное место для хранения на зиму           в любой зимний день подавайте на стол сок в бокалах  только немного его охладите  не менее вкусен и полезен сок из тыквы с апельсином   который тоже можно приготовить на зиму в домашних условиях       
58;   ягоды промыть  перебрать  сложить в банку  засыпать сахаром и залить до верха спиртом  закрыть плотной крышкой  встряхнуть  чтобы растаял сахар     выдержать в тепле  пока не начнется брожение  поставить банку я ягодами в темное место  например  в кладовую  периодически встряхивать баку  в течение  х недель жидкость с ягодами забродит и станет подходящей для настойки  уже появится пенка  которую нужно убрать  так как спирт имеет крепость   то выдерживаем настойку  недели  настойку на спирту    выдерживаем неделю  так как крепость большая     пролить настойку через мелкое сито  потом через марлю  ягоды больше не пригодятся  некоторые хозяйки процеживают настойку через ватно марлевый фильтр  но можно использовать обычную марлю  только сложить ее в два три слоя     налить настойку в графин и хранить ещё  дней в прохладном месте  в погребе   пока настойка не приобретет нужный градус          охладить и разлить в бокалы  получается отличный дамский напиток домашнего приготовления  все мои подружки просто в восторге от настойки из черной смородины  хорошего вам настроения и приятного аппетита   вкусной получается также настойка из вишни на спирту   
59;   у вишни обрываем веточки  заливаем холодной водой на пять десять минут  промываем несколько раз пока не смоются все загрязнения       при помощи специального пресса или шпильки удаляем из вишни косточки  выделившийся сок не выливаем  он тоже пойдет в компот      наливаем в кастрюлю холодную воду  ставим на сильный огонь  добавляем сахар  количество на ваше усмотрение  добавляйте по вкусу и в зависимости от кислоты вишни       доводим воду с сахаром до кипения  кипятим несколько минут  добавляем натуральные ароматизаторы  палочку корицы и несколько гвоздичек или звездочку бадьяна  вместо целых специй можно положить молотые  но если не хотите ничем перебивать вишневый вкус напитка  добавьте только сахар            высыпаем в кипящую воду вишню  сок пока не добавляем  варим компот с начала закипания жидкости пять семь минут при кипении средней интенсивности       из готового компота палочку корицы достаем  вливаем вишневый сок  даем еще раз закипеть и выключаем огонь  накрываем компот крышкой  оставляем настаиваться       через час компот будет готов  ягоды опустятся на дно  напиток приобретет характерный вишневый вкус и аромат  цвет изменится на темно рубиновый  думаю  вам понравится и этот компот из вишни и малины      ягоды из вишневого компота можно выбросить  если у вас их не любят  а компот перелить в кувшин и поставить в холодильник охлаждаться  приятного аппетита   
60;     сначала подготовьте посуду для консервирования компота из слив  стеклянные банки тщательно вымойте  с содой и ошпарьте кипятком  жестяные крышки для консервирования тоже вымойте с содой  а затем прокипятите в течение  минут       сливы переберите и вымойте  мятые  повреждённые  и перезрелые плоды отбракуйте  удалите у слив черенки       в чистые вымытые банки разложите сливы  банки должны быть заполнены сливами примерно на треть  кстати  из спелых слив также можно заготовить вкусный сливовый джем       засыпьте в банку со сливами необходимое количество сахара            вскипятите чистую воду  залейте её в банку со сливами и сахаром  так чтобы банка до конца заполнилась водой       теперь приступите к стерилизации сливового компота  для этого вскипятите воду в ёмкости такого размера  чтобы туда поместились полностью в высоту банки с компотом  поставьте в ёмкость с горячей водой банки с компотом таким образом  чтобы уровень воды в ёмкости и компота в банках приблизительно совпадал  и компот в банках  и вода в кастрюле для стерилизации должны быть горячими  после закипания воды в ёмкости  стерилизуйте трёхлитровые банки   минут  литровые   минут       как только компот простерилизуется положенное время  осторожно выньте горячие банки из воды и сразу же закатайте       переверните банки с компотом из слив вверх дном и поставьте на деревянную доску  слегка потрясите  чтобы разошёлся сахарный песок на дне банок  оставьте банки дном вверх до полного остывания  укутывать банки не нужно             как только банки с компотом остынут  их можно перенести на место хранения    а еще предлагаем вам заготовить на зиму компот из абрикос    удачных заготовок   
61;   ржаной хлеб нарезать на квадратики  потом просушить в духовке при   пару минуток  дать хлебным сухарикам остыть  полежать     сложит все ржаные сухарики в трехлитровую стеклянную банку     всыпать в банку сахарный песок  чтобы квас хорошо играл и на вкус был приятным     также добавить сухой  немытый изюм  изюм придаст квасу резкость          залить продукты в банке горячей водой     прикрыть марлевой тканью и дать настоять в комнате и остыть в течение целого дня  оставить квас остывать в тёмном месте  пока в холод не ставьте  просто оставьте квас в обычной  но темной комнате  можно поставить в кладовую  на следующий день вы заметите и услышите шипение  это означает  что квас начал бродить и процессы настаивания идут полным ходом  также посмотрите этот быстрый и простой рецепт вкусной окрошки на квасе     теперь поставить квас в прохладное место на  дня  потом вы увидите  что квас настоялся  приобрел красивый оттенок  профильтровать напиток через   слоя марли  можно взять очень мелкое сито     попробовать квас на вкус  можно добавить немножко сахара  напиток готов  употребляйте его холодном виде      
62;   в принципе  для компота подходят любые ягоды  но если вы хотите чтобы он был ярким  насыщенного цвета  то выбирайте клубнику темных  рубиновых сортов  желательно брать спелые ягоды  без подпорченных участков и повреждений  минут на пять заливаем клубнику холодной водой  затем споласкиваем под проточной водой и обрываем хвостики      подготовленные ягоды раскладываем по банкам  емкости для компота можно брать как литровые  так и на три литра  обязательно вымыть горячей водой с моющим средством  лучше всего содой   крышки прокипятить       заливаем банки кипящей водой из чайника или кипятим воду для заливки в подходящей по объему кастрюле  накрываем прокипяченной крышкой и оставляем в покое на   минут       остывшую воду сливаем обратно в кастрюлю  банку с клубникой накрываем  воду ставим на сильный огонь            добавляем сахар  можно сделать компот более концентрированным  добавив сахара больше и зимой разводить его кипяченой водой до нужной концентрации       добавляем лимонную кислоту  на одну литровую банку буквально щепотку  или на кончике чайной ложки   на банку емкостью три литра лимонки понадобится примерно четверть чайной ложки  не менее вкусным получается и этот компот из яблок с черноплодной рябиной на зиму      помешивая  варим сироп после закипания две три минуты  до растворения кристаллов сахара и лимонной кислоты  заливаем кипящую жидкость в банки с клубникой  закручиваем и оставляем в перевернутом состоянии остывать       остывший клубничный компот переставляем на хранение в подвал или темную кладовую  подальше от яркого солнца  на свету он становится блеклым  а ягоды приобретают сероватый оттенок   компот из клубники нужно выдержать несколько недель  дать ему настояться  набрать цвет и вкус  удачных вам заготовок   
63;   ставим на сильный огонь кастрюлю с водой  пока вода закипает  подготавливаем клубнику и моем банки  ягоды перебираем  удаляем примятые и подпорченные  немного недоспевшие оставляем  они хоть и плотные  но сока в них много  и на вкус приятные  снимаем плодоножки  промываем клубнику под проточной водой      крупные ягоды разрезаем на две или четыре части  мелкие и средние оставляем целыми  высыпаем в чисто вымытую банку  чтобы стекло не лопнуло  сначала прогреваем банку над паром две три минуты и затем наполняем ягодами  к этому времени вода для компота уже закипела       заливаем банки до самого верха  накрываем металлическими крышками  оставляем минут на   ягоды нужно хорошо распарить       снимаем крышку  сливаем воду из банок в кастрюлю  чтобы ягоды не высыпались  пользуемся специальной крышкой с дырочками или придерживаем клубнику ложкой            распарившись  ягоды отдали часть сока воде  она уже окрасилась в яркий цвет  теперь нужно на сильном огне вновь довести воду до кипения      всыпаем в кипящую воду сахар  размешиваем  после закипания провариваем одну две минуты  помешивая      заливаем клубнику кипящим сиропом  сразу закручиваем крышками под резьбу или под машинку  проверяем герметичность положив банку на бок  если через несколько минут не заметно следов сиропа  переворачиваем банки вверх дном  накидываем полотенце или плед и оставляем на сутки       когда банки остынут  переставляем компот из клубники на хранение  условия хранения стандартные  темное прохладное место без доступа солнечного света и резкой смены температур  удачных вам заготовок   смотрите и другие  не менее интересные рецепты компотов на зиму   
