Номер;Рецепт
13;                                              для вина нужны только лепестки одуванчиков  поэтому прежде всего необходимо отделить их от цветоложа  это можно сделать с помощью ножа  прижать лепестки лезвием и сильно дернуть за основание стебля                                                                                          положить лепестки в большую кастрюлю и залить  л холодной кипяченой воды  накрыть крышкой и отставить на  ч                                                                                          на следующий день растворить в   л кипящей воды сахар и варить на маленьком огне до готовности  готовность сиропа проверяют так  наносят каплю на гладкую поверхность  если она не растекается  сироп готов                                                                                          настой из одуванчиков довести до кипения  снять с огня  дать полностью остыть  затем процедить отвар через сито  лепестки удалить                                                                                          срезать с лимонов цедру в виде спирали  из мякоти выжать сок  добавить в процеженный цветочный отвар сахарный сироп  изюм  мелиссу  цедру и сок лимона  смесь тщательно перемешать  закрыть марлей и отставить на  дня для брожения  после первичного брожения цедру и мелиссу удалить                                                                                          перелить жидкость вместе с изюмом в большую бутыль и насадить на горлышко резиновую перчатку с небольшой дыркой в пальце  оставить в темном месте при комнатной температуре для дальнейшего брожения  когда брожение прекратится  отделить осадок  перелить вино в бутылки  плотно закрыть и убрать в прохладное темное место на  месяцев для созревания                                            
14;                                              подготовьте клубнику  осторожно вымойте ягоды проточной водой и хорошо обсушите  разложив на бумажных полотенцах  затем очистите клубнику от плодоножек                                                                                           несколько красивых ягод отложите для украшения коктейля  остальную клубнику крупно нарежьте  сложите в чашу блендера  посыпьте сахарной пудрой и измельчите                                                                                          добавьте лед и пломбир  пробейте блендером  влейте молоко и тщательно перемешайте  клубничный молочный коктейль разлейте по высоким бокалам  украсьте ягодами и подайте на стол с трубочками                                            
15;                                              подготовить необходимый набор продуктов                                                                                          корень имбиря освободить от кожуры натереть на мелкой терке или измельчить блендером  можно перекрутить его на мясорубке    из лимонов отжать сок                                                                                           третью часть от общего количества воды нагреть до кипения  всыпать сахар и перемешать до его растворения  перелить сладкую воду в емкость  добавить измельченный имбирь и дать время жидкости остыть                                                                                            после остывания имбирного настоят  всыпать сухие дрожжи и размешать их в нем  влить лимонный сок                                                                                             в подготовленный концентрированный настой долить всю оставшуюся  воду до объема в два литра и перелить жидкость в пластиковую емкость подходящего объема  оставить полуфабрикат в темном месте при комнатной температуре не менее чем на сутки  чем теплее в комнате  тем процесс брожения будет проходить активнее и быстрее   о готовности подскажет уплотнившаяся пластиковая бутылка  напиток следует процедить и разлить по бутылкам  не заполняя их доверху  до полного вызревания емкости с напитком следует хранить в холодильнике  как минимум еще сутки                                               
16;                                              стакан замороженной облепихи залить кипятком  размолоть в блендере  процедить                                                                                           отдельно залить оставшимся кипятком нарезанные тонкими ломтиками половинку апельсина  несколько ломтиков лимона и ломтики имбиря  по вкусу   добавить  ложки мёда  количество также можно варьировать по вкусу   влить облепиховый морс                                                                                           дать напитку немного настояться и разливать по кружкам  желательно прозрачным  чтобы показать красивый цвет напитка  в каждую кружку для красоты добавить кусочки апельсина и лимона  и целые ягодки облепихи                                             
17;                                              залейте сухофрукты  л питьевой воды  доведите до кипения  варите  мин                                                                                           перелейте в термос  добавьте тонко нарезанный имбирь и шиповник с гвоздикой  закройте  настаивайте  ч  подавайте с лимоном и медом вприкуску                                            
18;                                              промойте сухофрукты  замочите в  л питьевой воды вместе со всеми специями  кроме корицы  на  ч                                                                                            затем доведите до очень слабого кипения и варите на минимальном огне  мин                                                                                            положите корицу  закройте крышкой  выключите огонь и дайте компоту полностью остыть                                            
19;                                              очистите яблоко от кожуры и сердцевины  нарежьте  положите в блендер  добавьте лед и все остальные ингредиенты  взбейте до однородности и сразу же подавайте                                            
20;                                              в наполненный льдом стакан рокс влейте бурбон и перемешивайте  пока лед немного не растает  влейте остальные ингредиенты  перемешайте  украсьте лимонной цедрой и черносливом на шпажке                                             
21;                                              разрежьте чернослив на четвертинки  сложите в герметично закрывающуюся емкость  добавьте бадьян  залейте хересом  оставьте на  дней в темном месте  процедите  подавайте холодным  со льдом                                            
22;                                              залейте сухофрукты доведенной почти до кипения минеральной водой  добавьте чайные листья и сахар по вкусу закройте  настаивайте  мин                                                                                          добавьте мяту  остудите  процедите в бокалы со льдом  подавайте с ломтиками лимона                                            
23;                                              хлеб порезать на мелкие кусочки и приготовить из него сухари в духовке                                                                                           хмель залить стаканом воды  довести до кипения  варить  мин на медленном огне  дать полностью остыть  процедить                                                                                          сухари положить в эмалированную или стеклянную  посуду  залить отстоянной водой комнатной температуры  оставить на    ч при с  затем добавить сахар  настой хмеля  изюм и оставить на  суток в тёплом месте                                                                                          готовый квас процедить  слить в стеклянные бутылки и хранить на холоде                                            
24;                                              в кастрюльку налить молоко  добавить банан  поставить на умеренный огонь и довести до кипения  помешивая  снять с огня  добавить шоколад и дать ему раствориться  добавить ванильный сахар и взбить блендером до появления пены  вылить в бокал  присыпать корицей и    зажмурится от удовольствия                                            
25;                                              приготовим апельсиновый сахар  для этого вымоем апельсин  затем обдаем его кипятком  далее трем на мелкой терке апельсиновую цедру  очень важно осторожно тереть апельсин  чтобы не задеть белый слой  так как он придаст неприятную горечь  из самого апельсина выжимаем сок с помощью соковыжималки  для приготовления апельсинового сахара потребуется одна чайная ложка такого сока   теперь всыпаем в блендер сахарный песок  добавляем апельсиновую цедру и немного сока  измельчаем в блендере все до тех пор  пока сахарная масса не окрасится в равномерный желтый цвет  затем пересыпаем апельсиновый сахар на бумагу и подсушиваем его  периодически перемешивая  если будут образовываться крупные засахаренные кусочки  то их нужно разбить с помощью ножа или лопатки  храним апельсиновый сахар в герметичной посуде                                                                                          теперь перейдем непосредственно к приготовлению домашнего кофе с натуральным ароматизатором   возьмем стакан и в него положим апельсиновый сахар   ч л    затем добавим растворимый кофе                                                                                          нальем молоко в капучинатор и взобьем его  чтобы была густая пышная пена  вливаем теплое молоко  не добавляя при этом молочную пену   добавляем немного апельсинового сока   ч л   и перемешиваем  затем сверху кофе выкладываем густую молочную пену                                                                                           сверху присыпаем ее апельсиновым сахаром и наслаждаемся ароматным  бодрящим кофе  приготовленным только с натуральными ингредиентами                                            
26;                                              охлажденные сливки жирностью не менее    тщательно взбить в пышную пену  затем влить сгущенку и аккуратно с помощью силиконовой лопатки перемешать массу  на следующем этапе влить лимонад и также аккуратно перемешать  всыпать сухой краситель и перемешать  чтобы цвет мороженого стал однородным                                                                                          получившуюся массу перелить в контейнера  сверху накрыть пищевой пленкой так  чтобы между пленкой и массой не было воздуха  контейнера с мороженым убрать в морозилку минимум на  часа                                                                                          при подаче посыпать мороженое измельченными орехами и миндальными лепестками                                            
27;                                              соедините желтки с сахаром и взбивайте  пока масса не станет нежной и густой                                                                                          разогрейте сгущенное молоко со сливками на водяной бане  добавьте ванильный стручок  если используете  и кофе  порциями вмешайте взбитые желтки  непрерывно помешивая смесь  температура не должна превышать  с  иначе желтки превратятся в омлет                                                                                          сливочно ячный крем снимите с огня  остудите  добавьте все остальные ингредиенты и взбейте миксером                                                                                          перелейте ликер в бутылку  закупорьте и уберите в холодильник на сутки                                            
28;                                              помыть ягоды черноплодки и апельсин  ягоды аронии проколоть вилкой  желательно каждую ягодку  с апельсина счистить цедру  понадобится  ч л                                                                                          в удобную емкость слить водку хорошего качаства  высыпать аронию и цедру  закрыть крышкой и настаивать  недели в темном месте  раз в   дня взбалтывать или перемешивать ложкой                                                                                          через две недели настойку процедить и слить в красивый графин  угощать хороших друзей  если есть время  то дайте настойке настояться подольше  месяц полтора  будет только насыщеннее и вкуснее                                            
29;                                              апельсины хорошо помыть  обдать горячей водой и обсушить нарезать апельсины вместе со шкуркой кусочками                                                                                           сложить кусочки апельсина в банку с теплой кипяченой водой  всыпать сахар  лимонную кислоту и дрожжи  оставить банку в теплом месте для брожения на сутки  у меня банка стояла на кухне на плите  горлышко прикрыть тканью через некоторое время пойдет процесс брожения                                                                                          на следующий день содержимое банки аккуратно слить через сито  кусочки апельсина выкинуть  а квас разлить по бутылкам  закрыть крышкой и поставить в холодильник на несколько часов для охлаждения  открывайте с осторожностью  бутылки под давлением                                            
30;                                              длинной лентой снимите с лимонов цедру  следите  чтобы не прихватить белую вату  она слишком горчит   выложите цедру в большую бутыль или графин  залейте водкой  закройте и дайте настояться  неделю при комнатной температуре                                                                                          в сотейнике доведите до кипения воду с сахаром  варите сироп  мин  не мешайте  особенно в начале  иначе сахар кристаллизуется  снимите с огня и остудите                                                                                          смешайте сироп с настойкой из водки  процедите смесь и разлейте в бутылки  закупорьте и оставьте на  недели в темном месте при комнатной температуре                                                                                          перед подачей хорошо охладите  разлейте в стопки для водки и подавайте как дижестив                                            
31;                                              поместить все ингредиенты в френч пресс  залить мл горячей воды  хорошо перемешать  перелить напиток в бокал                                                                                          украсить базиликом                                            
32;                                              взбить все ингредиенты в блендере с  кубиком льда до однородной консистенции  затем прогреть пароотводной трубкой кофемашины                                                                                          перелить в бокал  украсить зефиром маршмеллоу  взбитыми сливками  дробленым арахисом  какао и перцем чили                                            
33;                                              все ингредиенты взбить в питчере по методу приготовления раф кофе                                                                                          перелить в бокал  украсить зефиром маршмеллоу  маркером для латте арта  карамель                                            
34;                                              ингредиенты для базы поместить в вакуумный пакет и готовить методом су вид  часа при температуре  градусов                                                                                          смешать  мл базы и оставшиеся ингредиенты без добавления льда  затем охладить при температуре   градусов в течение часа  подавать в винном бокале                                            
35;                                              все ингредиенты для базы поместить в колбу сифона для сливок  объёмом   л  заправить  баллончиком газа   используя систему    настаивать  часов при температуре   градусов                                                                                          для раствора лимонной кислоты смешать лимонную кислоту  лаймовую  с водой в пропорции                                                                                            смешать  мл базы и оставшиеся ингредиенты без добавления льда  затем охладить при температуре   градусов в течение часа  подавать в винном бокале                                             
36;                                              ингредиенты для базы поместить в вакумный пакет и готовить методом су вид  часа при температуре  градусов                                                                                          смешать  мл базы с оставшимися ингредиентами без добавления льда  затем охладить при температуре   градусов в течение часа  подавать в винном бокале    раствор лимонной кислоты  смешать лимонную кислоту  лаймовую  с водой в пропорции                                              
37;                                              все ингредиенты для базы поместить в вакумный пакет и готовить методом су вид  часа при температуре  градусов                                                                                          смешать  мл базы с оставшимися ингредиентами без добавления льда  затем охладить при температуре   градусов в течение часа  подавать в винном бокале                                            
38;                                              приготовьте малиновый сироп  в маленькую кастрюлю положите малину и сахар  влейте воду идоведите до кипения на среднем огне  уменьшите огонь и варите  помешивая   мин  остудите и перелейте в чистую бутылку  сироп можно хранить в холодильнике  недели                                                                                          приготовьте коктейль  подготовьте  широких бокала дляшампанского  смешайте водку сперсиковым соком и разлейте побокалам  затем налейте в каждый бокал по  ст  л  малинового сиропа                                                                                          долейте бокалы шампанским  добавьте ягоды малины и сразу жеподавайте                                            
39;                                              виноград снимите с веточек  очистите банан и киви  крупно нарежьте                                                                                          у мяты удалите стебель  пару листочков отложите для украшения                                                                                          поместите все ингредиенты  сироп добавьте по вкусу  в блендер  взбейте до гладкости  перелейте в бокалы  украсьте мятой и подавайте                                            
40;                                              добавьте все ингредиенты в бокал и аккуратно размешайте по часовой стрелке по периметру бокала                                                                                           украсьте сушеным жареным луком  перцем чили и сельдереем                                             
41;                                              разломайте шоколад на маленькие кусочки или порубите ножом                                                                                          налейте молоко в сотейник  предварительно сполоснув сотейник холодной водой  нагрейте на небольшом огне  когда молоко уже горячее  всыпьте шоколад и начинайте мешать венчиком  готовьте до полного растворения шоколада                                                                                          добавьте сахар  доведите молоко почти до кипения  не кипятите   и разлейте по подогретым чашкам                                            
42;                                              ягоды почти полностью разморозьте                                                                                          бананы нарежьте произвольно и измельчите в блендере с ягодами до однородности                                                                                          продолжая взбивать  долейте нужное количество яблочного сока для получения желаемой консистенции                                                                                          разлейте смузи по высоким стаканам  добавьте мед  перемешайте и украсьте ягодами  сразу подавайте                                            
43;                                              мелко порубите зелень  в том числе шпинат  он даст цвет  вместе со стеблями                                                                                          сладкий и острый перец очистите от семян и перегородок  нарежьте небольшими кусочками                                                                                          сложите зелень  сладкий  острый перцы и перец горошком в бутылку или другую емкость  всыпьте сахар  влейте водку  закупорьте и оставьте в темном месте на  сутки                                                                                          затем процедите через самое тонкое сито или даже через марлю в чистую бутылку  закупорьте и оставьте еще на  сутки  все  можно наливать                                            
44;                                              смородину взбейте блендером и протрите через сито  раньше толкли толкушкой  а потом протирали через сито   сок отставьте  жмых поло жите в кастрюлю  добавьте сахар и  мл воды  доведите до кипения  варите  мин                                                                                          процедите отвар через сито в чистую кастрюлю  верните на сильный огонь  снова доведите до кипения  огонь уменьшите до средне слабого  в осташихся  мл воды разведите крахмал  тонкой струйкой влейте его  помешивая  в кипящий отвар                                                                                          продолжая помешивать  варите кисель до загустения  примерно  мин  снимите с огня и остудите  часто помешивая   мин  влейте смородиновый сок и тщательно перемешайте  кисель можно пить теплым или полностью остудить  поставить в холодильник и подавать холодным                                            
