Номер;Рецепт
11;чем выше жирность молока  тем гуще и вкуснее получается йогурт  поэтому для приготовления я использую самое жирное правильноемолоко  в сотейник выложить йогурт закваску  добавить немного молока  тщательно перемешать венчиком  затем добавить все оставшееся молоко и перемешать еще раз  сразу же разлить заквашенное молоко по баночкам  поставить баночки в йогуртницу  установить время приготовления  часов  мы свободны  орехи измельчить и обжарить на сухой сковороде  через указанное время  после звукового сигнала йогуртницы  достаем баночки  закрываем крышками  убираем в холодильник  йогурт можно хранить в холодильнике  дней  у меня есть возможность выставить на крышках дату приготовления  сами видите  что йогурт получился отличного качества  добавить в йогурт можно фрукты  ягоды  гранолу  варенье и    да что угодно  мой любимый вариант  йогуртс медом и грецкими орехами  жидкий мед взбить венчиком с молотым имбирем  йогурт в баночке  можно переложить йогурт в креманку  залить медом и добавить орехов  домашний йогурт с медом и грецкими орехами готов  приятного аппетита  
12;подготовить продукты для молочно бананового киселя  половину небольшого мягкого банана размять вилкой  в молоко добавить щепотку соли  пюре банана и ванилин  для более однородного состояния можно пробить блендером  развести крахмал молоком или водой до однородности  сколько класть крахмала  решайтесами  от этого зависит густота напитка  или ориентируйтесь на инструкцию на упаковке  поставить на плиту кастрюлю с молоком и довести  помешивая  до кипения  влить разведенный крахмал и быстро размешать  кисель начнет густеть и  как только появятся первые бульки  снимайте кисель с огня и разливайте по чашкам  при подаче посыпать кисель измельченными грецкими орехами  приятного аппетита  
13;сварите кофе  если необходимо  процедите его  халву разомните вилкой с корицей  добавьте мед  затем влейте молоко  я  как и всегда  для своей семьи выбираю самые лучшие продукты  и из молочной линейки товаров я выбрала для себя ао аисфер  молоко полностью натуральное  с небольшим сроком годности  а это лучший показатель натурального продукта   сливки этой торговой марки тоже будут здесь уместны  и напиток получится еще вкуснее  но  к большому сожалению  я не нашла их в продаже  видимо  и правда  самые качественные продукты раскупают первыми  взбейте все до однородного состояния  влейте кофе и еще раз взбейте  вкусно и в горячем  и в холодном виде  приятного кофепития  
14;подготовить продукты для какао  сахар кладите по вкусу  но не забывайте  что маршмеллоу тоже добавит сладости  шоколад советую взять горький  он не тает быстро и придает приятную горчинку  шоколад натереть на мелкой терке  смешать какао порошок с сахаром  влить немного воды или молока и тщательно размешать  чтобы не было комочков  поставить молоко на огонь и довести до кипения  молоко можно немного развести водой  влить пиалку с разведенным какао в кипящее молоко  прокипятить  минуты на слабом огне и снять с плиты  разлить какао по чашкам  сверху шапочкой положить маршмеллоу и посыпать шоколадом  вкуснятина необыкновенная  приятного аппетита  
15;очищаем имбирь от кожуры и натираем на мелкой терке  я специально его не нарезаю  а именно натираю очень тщательно  чтобы сквозь эти мелкие заостренные отверстия сочился имбирный сок на пару с мякотью  который придаст напитку более насыщенный вкус  отправляем к имбирю  чайные ложечки сушеной ромашки  из лимона выжимаем сок и нарезаем оставшуюся часть на небольшие кусочки  именно эти кусочки добавляем в чайник  добавляем к этой полезной смеси полезное сушеное яблочко для придания вкуса и аромата  заливаем эту ароматную смесь кипятком  даем настояться в течение  минут  наливаем чай через сито и наслаждаемся чудесным ароматом  когда чай немного остынет  можете добавить мед или сахар  если вы мед не употребляете  и лимонный сок по вкусу и по желанию  в сильно горячую жидкость мед добавлять не стоит  поскольку он утрачивает часть полезных свойств  вместо лимона можно добавить облепиху  перетертую с сахаром   или  чайные ложечки  чтобы избавиться от косточек и кожуры  я пропускаю ее через сито  будьте здоровы  пейте на здоровье  если имеются противопоказания или индивидуальная непереносимость некоторых ингредиентов  будьте осторожны  можете что то добавить или исключить  главное  чтобы вы чувствовали себя прекрасно    
16;с апельсина снимаем цедру  кладем на дно бокалов  фрукт разрезаем пополам  выжимаем сок  к соку добавляем сахар и апельсиновый ликер  все перемешиваем  удаляем семечки    в бокалы кладем лед  вливаем сок с ликером  затем добавляем шампанское  
17;опустите кромку бокала в воду  а затем в блюдце с сахаром  так вы получите красивую сладкую каемку  из клубники и сахара при помощи блендера сделайте пюре  разложите лед по бокалам  затем добавьте ягодное пюре  влейте в бокал шампанское  украсьте коктейль свежей клубникой  
18;из киви при помощи блендера сделайте пюре  в бокалы положите лед и влейте пюре  добавьте шампанское  перед подачей украсьте коктейль листьями базилика  
19;вот все необходимые ингредиенты  для приготовления этого чая я использую ликер бехеровка  кипятим воду  чай насыпаем в ситечко и кладем его в чашку  затем заливаем кипятком и добавляем десертный ликер бехеровка  перемешиваем  ждем  минуты  чтобы чай заварился  пьем чай с любимыми десертами и наслаждаемся  приятного чаепития  
20;нарежьте кубиком яблоко  переложите в сотейник  снимите с апельсина цедру с помощью специального ножа  нарежьте так же кубиком и добавьте к яблоку  поставьте сотейник на огонь  добавьте сахар  пряности  клюкву и залейте вином  как только появится легкий дымок  снимайте с огня  глинтвейн нельзя доводить до кипения  добавьте мед и оставьте настаиваться минут   
21;эти ингредиенты понадобятся для приготовления  воду  вскипятите  добавьте в кипяток сахар  палочки корицы  кардамон и бадьян  добавьте сушенные яблоки  клюкву и кумкват  оставьте настаиваться  минут  из апельсинов выжмите сок  добавьте тимьян  в кувшин добавьте дольки апельсина  залейте черным чаем и медом  добавьте в графин фруктово ягодный настойи подавайте   при подаче можете добавить ром по вкусу  
22;эти ингредиенты понадобятся для приготовления  вишню разморозьте и отожмите от лишней влаги вишню и сахар добавьте в сотейник  залейте кипяченой водой  добавьте корицу  варите  минут на медленном огне  яблоко очистите от сердцевины  нарежьте дольками  добавьте в сотейник к вишне  выдавите сок апельсина  налейте газированную воду   перемешайте  разлейте лимонад по бокалам  вторую половину апельсина нарежьте кружочками  украсьте бокалы веточкой мяты и дольками апельсина  
23;из граната выжать сок  получается примерно  мл  если соковыжималка у вас не профессиональная  дополнительно процедите сок через мелкое сито  чтобы было приятно пить  по желанию разведите с водой  чтобы сок не был очень концентрированный  будьте здоровы  
24;выдавить из одного грейпфрута сок  смешать с соком лимона  ананасовый сок  на дно бокала  затем грейпфрут с лимоном  все залить тоником  положить лед  украсить по желанию  хорошего настроения  
25;кромку стакана  в пару капель миндального ликера и прокатать в кофе  эспрессо крепкий  сладкий  холодный  виски должен быть непременно хорошим  в стакан  миндальный ликер  затем эспрессо  затем виски  лед  желаю вам хорошего вечера в хорошей компании  
26;заварить в кипятке калину  дать настояться минут   калина у меня свежая  с сахаром  приятного чаепития  будьте здоровы  
27;вино нагреть в сотейнике до   добавить мед  анис  перец чили  бадьян  корицу  апельсин  все хорошо перемешать  накрыть крышкой на  минуты  процедить  разлить по бокалам  хорошего настроения и душевного тепла всем вам  
28;малиновый ликер хорошо перетереть со свежей малиной  положить в бокал  затем добавить шампанское  ягоды малины  всем хорошего настроения  
29;водка комнатной температуры  малину в банку  залить ее водкой  крышку плотно закрыть  отправить в прохладное темное место минимум на  дня  дольше  лучше   дней  затем процедить  добавить сахар  разлить по бутылкам  плотно закрыть  поставить в холодильник или в прохладное темное место  я делал с белым ромом  очень нежный и более насыщенный вкус малины  нежели с водкой  с ромом более женский вариант   еще о малине  безусловно  свежая  это и вкус  и аромат  но можно сделать из замороженной  она будет не настолько ароматной  но вкус останется благородным  малину разморозить и только тогда заливать ромом или водкой  желаю вам хорошего настроени  
30;в ингредиентах нет липы  я указал сухие травы  липу залить кипятком  дать настояться  минут  добавить мед акации  приятного чаепития  
31;берем хлопья не быстрого приготовления  у меня цельнозерновые  залить хлопья отфильтрованной водой  для брожения и аромата поместить  куска хлеба  у меня горбушки ржаного хлеба  оставим при комнатной температуре на  часов  выдерживать можно до трех суток  свекровь настаивала два дня  но это для любителей покислее  я оставила в прохладном месте на сутки  чтобы оставить приятный  не резкий вкус  хлеб отжать и отдать птицам  остальную крупу тоже отжать через марлю  отжимки тоже можно отдать птицам или применить в выпечке печенья или оладьев  отжатый овсяный тум  поставить на огонь  для сладкого варианта такие добавки  можно добавить какао  для несладкого  просто соль  перемешать добавки и всыпать в кисель  помешивая  при появлении первых пузырьков кисель начинает густеть  снимаем с огня  чуть теплый разливаем по порциям  несладкий вариант можно подать с жареным луком  у меня кисель на десерт подала в этот раз с голубичным джемом  творогом и шоколадом  подала десерт комнатной температуры  чуть теплый  а добавки  из холодильника  летом в жару можно охладить в таких креманках  не хуже магазинного пудинга  давайте попробуем этот нежный десерт  очень вкусно  
32;калину вымыть  отделить от веточек  у яблок удалить сердцевину  нарезать пластинами  залить водой  довести до кипения  варить  минут  засыпать сахар  кипятить компот еще  минут  приятного аппетита  
33;лед  у меня с цветами  так замораживают мои дети  кладу в бокал  наливаю биттер апероль  в ингредиентах его нет  я указал апельсиновый ликер  апероль продается в стеклянных бутылках с названием апероль  в данном случае это является базой коктейля  далее наливаю просекко  можно шампанское или белое сухое вино  но все же предпочтительней что то с пузырьками  кладу дольку апельсина  хорошего вам настроения  
34;эти ингредиенты понадобятся для приготовления  в кастрюле смешайте мед с чаем  добавьте специи  добавьте правильноемолоко аисфер  доведите до кипения  немного остудите  добавьте ром и цедру апельсина  подавайте  посыпав корицей  
35;подготовим продукты  фейхоа  гранаты  сахар и розу  перебираем фейхоа  моем  срезаем хвостики  очищаем гранат  на  литровую банку   чашка гранатовых зерен  количество можно уменьшить  в банку  литровую кладем фейхоа  розу  гранатовые зерна  заливаем кипятком и оставляем под крышкой на  минут  сливаем воду из банки  добавляем сахар  по исходному рецепту   г сахара  я уменьшила до  г  корректируйте по своему вкусу  кипятим сироп  заливаем фрукты  закатываем  приятного аппетита  
36;эти ингредиенты понадобятся для приготовления  налейте в сотейник воду   доведите до кипения  добавьте мед и перемешайте до полного растворения меда  добавьте специи  перемешайте  в чайник добавьте мяту  лимон и дольки имбиря  залейте содержимое сотейника в чайник  подавайте с долькой лимона  
37;эти ингредиенты понадобятся для приготовления  соедините в турке воду у и молотый кофе  сварите кофе  в бокале смешайте виски с сахаром  добавьте горячий кофе  растворите сахар  взбейте сливки  выложите их на кофе  посыпьте тертым шоколадом  и подавайте  
38;вот все необходимые ингредиенты для приготовления этого коктейля  зелень петрушки нужно мелко нарезать  чеснок пропустить через пресс для чеснока  в шейкер наливаем томатный сок  затем добавляем туда измельченный чеснок и нарезанную зелень петрушки  а также соль и майонез  закрываем плотно крышкой шейкер и взбалтываем коктейль около  минуты  затем разливаем коктейль по бокалам и подаем его с тостом из черного хлеба  приятного аппетита  
39;эти ингредиенты понадобятся для приготовления  в чашке смешайте полстакана правильноемолоко аисфер и крахмал  выдавите сок из половины апельсина оставшееся правильноемолоко аисфер влейте в кастрюлю и доведите до кипения  добавьте в горячее молоко шоколад  сахар  ванильный экстракт  корицу и перемешайте  добавьте молочную смесь после того  как шоколад растает  прогрейте еще минуту на слабом огне  подавайте с маршмеллоу  
40;вскипятить воду  мяту слегка примять  чтобы пошел аромат  положить в чашку или заварник  залить горячей водой  маленький ароматный секрет в этом чае  это пара карамелек барбарис  кладу вместе с мятой  когда все заварится  аромат и вкус бесподобный  можно еще класть карамель дюшес  так же отличное сочетание  приятного чаепития  
41;смородину перебить в блендере с сахаром  воду вскипятить  залить в заварник  добавить смородину по вкусу  дать настояться пару минут  добавить мяту  приятного чаепития  
42;в заварочный чайник добавить черный чай  тимьян и специи  залить кипяток  оставить завариваться на  минут  
43;абрикосы вымыть  удалить косточки  помять плоды руками или пестиком  выложить абрикосовое пюре в большую бутыль   л   засыпать сахаром и залить водой  перемешать  на горло бутыли надеть резиновую перчатку  поставить сосуд на солнце на  дней  время от времени бутыль поворачивать вокруг своей оси  чтобы она равномерно прогревалась и шел процесс брожения  когда брожение закончится  резиновая перчатка опадет  по окончании брожения процедить наливку через сито  мезгу можно использовать еще раз  залив водой и засыпав новую порцию сахара  полученную после процеживания жидкость перелить в банки  накрыть капроновыми крышками и поставить в темное прохладное место на месяц  по окончании настаивания можно наливку еще раз профильтровать через марлю  разлить по бутылкам и поставить в темное место еще на  недели  готовую наливку налить в красивую бутылку и подать к столу  угощайтесь  приятного аппетита  
44;в огнеупорную емкость добавьте  мл молока и  мл воды  затем добавьте палочки корицы  горошины душистого перца  щепотку гвоздики  свежий корень имбиря  молотый кардамон  в течение  минут содержимое емкости подогревайте на среднем огне  периодически помешивая  далее добавьте основной ингредиент  чайный лист и сахар  затем увеличьте огонь  дайте напитку закипеть  после чего сразу выключите огонь  дайте чаю немного настояться  после чего процедите через мелкое сито  
45;заварить чай  добавить мед  дольку апельсина  бадьян  добывить палочку корицы  дать настояться чаю  минут  приятного чаепития  
46;в ингредиентах нет травяного чая  я указал травы ароматные  но у меня травяной чай  чабрец  лемонграсс  ромашка    заварить чай  дать ему настояться минут   добавить мяту и дольку апельсина  если вы любите сладкий чай  добавьте мед или сахар по желанию  приятного чаепития  
47;положите чай зеленая сенча  в заварочный чайник  добавьте палочки корицы и залейте кипятком  дайте напитку настояться  минуты  затем уберите чайные пакетики  яблоко нарежьте небольшими дольками и добавьте его в заварочный чайник  влейте ванильный сироп  хорошо перемешайте  чай с ярким вкусом и ароматом готов  подавайте напиток горячим  приятного чаепития  
48;подготовить ингредиенты для настойки  черноплодную рябину снять с веточек  хорошо промыть и обсушить  нам нужен  стакан ягод  с апельсина счистить цедру  в рецепте  щедрая чайная ложка   ну и водку берите хорошего качества  ягоды черноплодной рябины проколоть зубочисткой или вилкой  желательно так поступить с каждой ягодкой  итак  все ингредиенты подготовлены   в удобную банку сливаем водку  кладем цедру лимона и ягоды черноплодной рябины  ставим сосуд в темное место на  недели  раз в  дня взбалтывать содержимое  с каждым днем настойка будет становиться темнее и насыщеннее  приятной вам дегустации  но не злоупотребляйте     
49;разморозьте облепиху  ягоды немного разомните  в небольшой сотейник налейте воду  добавьте облепиху  все специи и имбирь  доведите до кипения  затем убавьте огонь и варите еще  минут  снимите с огня и процедите через сито  затем перелейте сок снова к мякоти и процедите еще раз  так вкус будет насыщеннее  добавьте мед и хорошо перемешайте  
50;если вам  как и мне  приятнее всего натуральное  то нет ничего лучше  чем травяной чай с грядки  шиповник лучше использовать сухой  как и листья  хотя  на мой вкус  свежими они намного вкуснее  конечно  вкуснее всего чай пить из самовара  но большой керамический чайник тоже вполне для этого подойдет  секрет в том  что  при заваривании чая  керамика  как и фарфор  дольше держит тепло  а значит и лучше раскрывает вкусовой букет и аромат трав  я завариваю на глазок  но если придерживаться рецептуры  то на чайник  литра нужно положить по  ст  л  всего  или по  пучка  затем дать настояться  минут  приятного чаепития  
51;чай   палочку корицы и гвоздику добавьте в чайник и залейте кипятком  дайте напитку настояться  минуты  после чего уберите пакетики из чайника  влейте в сотейник оба вида сока и подогрейте  фрукты нарежьте на дольки и добавьте в чайник  прогретый сок влейте в чайник  перемешайте  чайный глинтвейн подавайте горячим  приятного чаепития  
52;залейте чай  синие лепестки кипятком  дайте настояться  минут  половинки лимона и апельсина нарежьте дольками  положите цитрусы в заварочный чайник  добавьте мед  перемешайте  напиток с насыщенным цветом и ароматом готов  подавайте горячим  приятного чаепития  
53;эти ингредиенты понадобятся нам для приготовления  яблоко  лимон и корень имбиря тонко нарежьте  положите в заварочный чайник  в чайник добавьте пряные специи  гвоздику  корицу  душистый перец  кардамон  далее добавьте мяту и тимьян  вскипятите негазированную воду   добавьте вскипяченную воду и мед в заварочный чайник дайте напитку настояться  минут  согревающий напиток готов  
54;эти ингредиенты понадобятся нам для приготовления  клюкву пробейте блендером до состояния пюре  процедите ягоды через сито  добавьте в сок газированную воду  в сотейнике соедините обычную негазированную воду с сахаром  шалфеем и мятой  доведите до кипения  дайте настояться  чтобы сироп был ароматный  добавьте полученный остывший сироп к ягодному соку подавайте этот бодрящий напиток охлажденным  
55;эти ингредиенты понадобятся нам для приготовления  очистите и нарежьте на кусочки морковь  установите на кухонную машину  насадку соковыжималка  выжмите морковный сок  затем выжмите яблочный сок  удалив у каждого яблока сердцевину  если использовали кислые яблоки  добавьте сахар по вкусу  подавайте сок с оливковым маслом и веточкой мяты  витаминный напиток готов  будьте здоровы  
56;эти ингредиенты понадобятся нам для приготовления  разморозьте клюкву при помощи кухонной машины  сделайте клюквенное пюре  используя насадку пресс для ягод  полученный сок сохраните  клюквенное пюре залейте водой и поставьте на огонь  добавьте сахар доведите до кипения процедите смесь в ранее отжатый сок  полезный зимой витаминный напиток готов  приятного аппетита  
57;для приготовления подготовьте эти ингредиенты  дыню и груши очистите от кожуры и семян  нарежьте дыню и груши на небольшие кусочки  налейте в кастрюлю негазированную воду   добавьте в кастрюлю дыню  груши и доведите до кипения  добавьте сахар  сок лимона  пробейте все блендером  в горячее пюре введите крахмал  предварительно растворенный в воде  аккуратно помешивая  по необходимости процедите и остудите  
58;эти ингредиенты понадобятся нам для приготовления  в сотейнике смешайте облепиху и сахар  разомните  добавьте специи и сок половины лимона  добавьте немного негазированный воды  и несколько веточек мяты  доведите до кипения и варите  минут  затем процедите и дайте остыть  перелейте остывший сироп в кувшин  добавьте веточки мяты и влейте газированную воду   перемешайте  подавайте этот освежающий напиток с кубиками льда  
59;эти ингредиенты понадобятся нам для приготовления  в кастрюле соедините нарезанные дольками яблоки и бруснику  добавьте палочки корицы  цедру и сок апельсина  всыпьте сахар  залейте все негазированной водой   доведите до кипения  протрите через сито и подавайте теплым  бодрящий напиток готов  
60;вот все необходимые ингредиенты для приготовления коктейля  в ингредиентах указана газированная минеральная вода  вы можете использовать любую  которая вам нравится  срезаем мякоть с ломтиков дыни и нарезаем ее кусочками  кладем в блендер кубики дыни и ягоды клубники  измельчаем все до состояния пюре  затем раскладываем пюре по бокалам  примерно половину бокала  и добавляем минеральную газированную воду  перемешиваем и наслаждаемся  приятного аппетита  
61;промыть овес  засыпать в трехлитровую банку  добавить сахар  воду из фильтра или родника  размешать  накрыть марлей  через  дня первый квас вылить  он горький и не полезный  во второй раз залейте овес водой  добавьте сахар и через три дня получите вкусный полезный квас  процедите готовый квас и разлейте по бутылкам  уберите бутылки в холодильник  этот же овес можно использовать до  х раз  только сахар добавлять  
